RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	6.818758e-01	-1.741755e-01
2	2.482823e-01	-5.016126e-01
3	4.235901e-01	-3.490786e-01
4	3.452020e-01	-4.123686e-01
5	3.785135e-01	-3.846772e-01
6	3.640704e-01	-3.965276e-01
7	3.702768e-01	-3.914070e-01
8	3.675997e-01	-3.936105e-01
9	3.687526e-01	-3.926606e-01
10	3.682557e-01	-3.930698e-01
11	3.684698e-01	-3.928935e-01
12	3.683775e-01	-3.929694e-01
13	3.683751e-01	-3.929672e-01
14	3.683751e-01	-3.929672e-01
15	3.683761e-01	-3.929682e-01
16	3.683777e-01	-3.929696e-01
17	3.684159e-01	-3.929354e-01
18	3.684175e-01	-3.929369e-01
19	3.684175e-01	-3.929369e-01
20	3.684162e-01	-3.929357e-01
21	3.684152e-01	-3.929348e-01
22	3.684116e-01	-3.929316e-01
23	3.684179e-01	-3.929373e-01
24	3.683945e-01	-3.929456e-01
25	3.684004e-01	-3.929510e-01
26	3.684032e-01	-3.929534e-01
27	3.684078e-01	-3.929449e-01
28	3.684084e-01	-3.929454e-01
29	3.684081e-01	-3.929453e-01
30	3.684074e-01	-3.929449e-01
