RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	6.819072e-01	-1.742233e-01
2	2.483473e-01	-5.016554e-01
3	4.236362e-01	-3.491266e-01
4	3.452578e-01	-4.124136e-01
5	3.785645e-01	-3.847240e-01
6	3.641237e-01	-3.965734e-01
7	3.703290e-01	-3.914534e-01
8	3.676524e-01	-3.936565e-01
9	3.688050e-01	-3.927068e-01
10	3.683083e-01	-3.931159e-01
11	3.685223e-01	-3.929396e-01
12	3.684301e-01	-3.930156e-01
13	3.684698e-01	-3.929829e-01
14	3.684527e-01	-3.929970e-01
15	3.684601e-01	-3.929909e-01
16	3.684569e-01	-3.929935e-01
17	3.684583e-01	-3.929924e-01
18	3.684577e-01	-3.929929e-01
19	3.684579e-01	-3.929926e-01
20	3.684578e-01	-3.929927e-01
21	3.684579e-01	-3.929927e-01
22	3.684579e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
26	3.684579e-01	-3.929927e-01
27	3.684579e-01	-3.929927e-01
28	3.684579e-01	-3.929927e-01
29	3.684579e-01	-3.929927e-01
30	3.684579e-01	-3.929927e-01
