RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	8.694532e-01	-1.103175e-08	8.694532e-01
3	2.742248e-01	-2.958621e-08	2.742248e-01
4	1.675606e-01	-7.111793e-09	1.675606e-01
5	1.495165e-01	-6.727085e-09	1.495165e-01
6	1.461671e-01	-6.803889e-09	1.461671e-01
7	1.455450e-01	-6.754774e-09	1.455450e-01
8	1.454295e-01	-6.773201e-09	1.454295e-01
9	1.454081e-01	-6.764736e-09	1.454081e-01
10	1.454041e-01	-6.768287e-09	1.454041e-01
11	1.454034e-01	-6.766739e-09	1.454034e-01
12	1.454032e-01	-6.767403e-09	1.454032e-01
13	1.454032e-01	-6.767116e-09	1.454032e-01
14	1.454032e-01	-6.767240e-09	1.454032e-01
15	1.454032e-01	-6.767187e-09	1.454032e-01
16	1.454032e-01	-6.767209e-09	1.454032e-01
17	1.454032e-01	-6.767200e-09	1.454032e-01
18	1.454032e-01	-6.767204e-09	1.454032e-01
19	1.454032e-01	-6.767202e-09	1.454032e-01
20	1.454032e-01	-6.767203e-09	1.454032e-01
21	1.454032e-01	-6.767203e-09	1.454032e-01
22	1.454032e-01	-6.767203e-09	1.454032e-01
23	1.454032e-01	-6.767203e-09	1.454032e-01
24	1.454032e-01	-6.767203e-09	1.454032e-01
25	1.454032e-01	-6.767203e-09	1.454032e-01
26	1.454032e-01	-6.767203e-09	1.454032e-01
27	1.454032e-01	-6.767203e-09	1.454032e-01
28	1.454032e-01	-6.767202e-09	1.454032e-01
29	1.454032e-01	-6.767203e-09	1.454032e-01
30	1.454032e-01	-6.767203e-09	1.454032e-01
