RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.231603e+00	2.723789e-02	1.503981e+00
3	9.953664e-01	-2.539216e-08	9.953664e-01
4	6.058667e-01	-4.061174e-08	6.058667e-01
5	3.320392e-01	-1.960407e-08	3.320392e-01
6	1.784249e-01	-9.671721e-09	1.784249e-01
7	1.506998e-01	-4.795946e-09	1.506998e-01
8	1.463862e-01	-4.682333e-09	1.463862e-01
9	1.455857e-01	-4.734648e-09	1.455857e-01
10	1.454371e-01	-1.109324e-09	1.454371e-01
11	1.454095e-01	-1.204843e-09	1.454095e-01
12	1.454044e-01	-1.202907e-09	1.454044e-01
13	1.454034e-01	-1.203731e-09	1.454034e-01
14	1.454032e-01	-1.203374e-09	1.454032e-01
15	1.454032e-01	-1.203527e-09	1.454032e-01
16	1.454032e-01	-1.203461e-09	1.454032e-01
17	1.454032e-01	-1.203490e-09	1.454032e-01
18	1.454032e-01	-1.203477e-09	1.454032e-01
19	1.454032e-01	-1.203483e-09	1.454032e-01
20	1.454032e-01	-1.203480e-09	1.454032e-01
21	1.454032e-01	-1.203481e-09	1.454032e-01
22	1.454032e-01	-1.203481e-09	1.454032e-01
23	1.454032e-01	-1.203481e-09	1.454032e-01
24	1.454032e-01	-1.203481e-09	1.454032e-01
25	1.454032e-01	-1.203481e-09	1.454032e-01
