RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.000114e+00	5.000000e-02	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	9.830943e-01	1.000000e-01	1.218338e+00	1.273679e+00	-1.001400e-01	-9.312869e-11	1.273679e+00	5.520956e-02	5.007002e-02	1.102647e+00	1.001400e-01	0.000000e+00	2.000000e+00
3	9.613186e-01	2.000000e-01	1.029038e+00	1.027942e+00	-1.440143e-02	-8.374610e-03	1.027942e+00	3.056834e-03	3.013409e-03	1.014411e+00	6.026819e-03	0.000000e+00	2.000000e+00
4	9.426126e-01	2.000000e-01	7.058937e-01	6.173576e-01	1.718406e-01	-1.654424e-03	6.173576e-01	-7.249356e-02	-8.674753e-02	8.356845e-01	-1.734951e-01	0.000000e+00	2.000000e+00
5	8.989906e-01	2.000000e-01	4.731867e-01	3.325920e-01	3.724963e-01	-2.185805e-08	3.325920e-01	-1.233321e-01	-1.862482e-01	6.621921e-01	-3.724963e-01	0.000000e+00	2.000000e+00
6	6.632155e-01	2.000000e-01	3.330103e-01	1.679059e-01	5.926004e-01	-1.073615e-08	1.679059e-01	-1.467259e-01	-2.963002e-01	4.951934e-01	-5.926004e-01	0.000000e+00	2.000000e+00
7	5.690986e-01	2.000000e-01	2.895170e-01	1.287136e-01	8.383163e-01	-7.105338e-09	1.287136e-01	-1.414144e-01	-4.191581e-01	3.373773e-01	-8.383163e-01	0.000000e+00	2.000000e+00
8	5.691807e-01	2.000000e-01	2.918084e-01	1.442397e-01	7.637960e-01	-6.745623e-09	1.442397e-01	-1.459042e-01	-3.818980e-01	3.820501e-01	-7.637960e-01	0.000000e+00	2.000000e+00
9	5.691445e-01	2.000000e-01	2.897557e-01	1.451874e-01	7.956111e-01	-6.778790e-09	1.451874e-01	-1.442595e-01	-3.978056e-01	3.626382e-01	-7.956111e-01	0.000000e+00	2.000000e+00
