RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.825469e-01	1.000000e+00	4.500000e+00	4.500000e+00	1.750000e+00	1.750000e+00	2.200000e+01	2.250000e+00	1.500000e+00	1.500000e+00	3.000000e+00	2.220446e-14	2.000000e+00
2	9.610157e-01	2.000000e+00	1.257359e+00	1.386039e+00	8.357860e-01	2.421572e+00	2.560176e+01	6.286797e-01	7.928930e-01	7.928934e-01	1.585786e+00	2.220446e-14	2.000000e+00
3	5.698518e-01	4.000000e+00	4.916336e-01	-6.144133e-01	1.390075e+00	1.126900e-04	-6.132864e-01	-6.458031e-02	-6.949811e-01	9.292384e-02	-1.389962e+00	0.000000e+00	2.000000e+00
4	5.694769e-01	4.000000e+00	3.436735e-01	2.533916e-02	5.674130e-01	1.099583e-04	2.643874e-02	-1.455260e-01	-2.836515e-01	5.130452e-01	-5.673031e-01	0.000000e+00	2.000000e+00
5	5.690445e-01	4.000000e+00	2.925143e-01	1.227110e-01	8.869044e-01	1.083507e-04	1.237945e-01	-1.373192e-01	-4.433980e-01	3.096974e-01	-8.867960e-01	0.000000e+00	2.000000e+00
6	5.691967e-01	4.000000e+00	2.938706e-01	1.411280e-01	7.438381e-01	1.083512e-04	1.422115e-01	-1.466804e-01	-3.718649e-01	3.944454e-01	-7.437297e-01	0.000000e+00	2.000000e+00
7	5.691265e-01	4.000000e+00	2.893996e-01	1.445803e-01	8.044057e-01	1.083511e-04	1.456639e-01	-1.436949e-01	-4.021487e-01	3.573178e-01	-8.042974e-01	0.000000e+00	2.000000e+00
8	5.691582e-01	4.000000e+00	2.906081e-01	1.452200e-01	7.781168e-01	1.083511e-04	1.463035e-01	-1.451793e-01	-3.890042e-01	3.732075e-01	-7.780084e-01	0.000000e+00	2.000000e+00
9	5.691405e-01	4.000000e+00	2.899539e-01	1.453389e-01	7.894071e-01	1.083511e-04	1.464224e-01	-1.445763e-01	-3.946494e-01	3.663410e-01	-7.892987e-01	0.000000e+00	2.000000e+00
10	5.691574e-01	4.000000e+00	2.902110e-01	1.453609e-01	7.845359e-01	1.083511e-04	1.464444e-01	-1.448429e-01	-3.922138e-01	3.692957e-01	-7.844276e-01	0.000000e+00	2.000000e+00
11	5.691285e-01	4.000000e+00	2.900956e-01	1.453650e-01	7.866334e-01	1.083511e-04	1.464485e-01	-1.447293e-01	-3.932625e-01	3.680220e-01	-7.865251e-01	0.000000e+00	2.000000e+00
