RTO_iter	u1	u2
0	1.500000e+00	1.500000e+00
1	1.669392e+00	5.144513e-01
2	8.578804e-02	-7.071041e-01
3	5.182836e-01	-2.800808e-01
4	3.077636e-01	-4.452355e-01
5	3.954069e-01	-3.711862e-01
6	3.569881e-01	-4.025152e-01
7	3.734263e-01	-3.889138e-01
8	3.663222e-01	-3.947545e-01
9	3.693789e-01	-3.922345e-01
10	3.680612e-01	-3.933195e-01
11	3.686288e-01	-3.928519e-01
12	3.683842e-01	-3.930534e-01
13	3.684896e-01	-3.929666e-01
14	3.684442e-01	-3.930040e-01
15	3.684638e-01	-3.929879e-01
16	3.684553e-01	-3.929948e-01
17	3.684590e-01	-3.929918e-01
18	3.684574e-01	-3.929931e-01
19	3.684581e-01	-3.929925e-01
20	3.684578e-01	-3.929928e-01
21	3.684579e-01	-3.929927e-01
22	3.684578e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
