RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793179e-01	-4.713851e-01
2	4.085803e-01	-3.607098e-01
3	3.514025e-01	-4.071137e-01
4	3.757881e-01	-3.868934e-01
5	3.652332e-01	-3.955624e-01
6	3.697720e-01	-3.918195e-01
7	3.678148e-01	-3.934307e-01
8	3.686577e-01	-3.927362e-01
9	3.682945e-01	-3.930354e-01
10	3.684510e-01	-3.929065e-01
11	3.683836e-01	-3.929620e-01
12	3.683814e-01	-3.929600e-01
13	3.683852e-01	-3.929635e-01
14	3.684104e-01	-3.929360e-01
15	3.684143e-01	-3.929395e-01
16	3.684143e-01	-3.929395e-01
17	3.684017e-01	-3.929498e-01
18	3.683978e-01	-3.929462e-01
19	3.683995e-01	-3.929478e-01
20	3.683959e-01	-3.929445e-01
21	3.684013e-01	-3.929494e-01
22	3.684024e-01	-3.929504e-01
23	3.684072e-01	-3.929454e-01
24	3.684077e-01	-3.929459e-01
25	3.684074e-01	-3.929456e-01
26	3.684067e-01	-3.929450e-01
27	3.684060e-01	-3.929444e-01
28	3.684056e-01	-3.929443e-01
29	3.684053e-01	-3.929444e-01
30	3.684050e-01	-3.929446e-01
