RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.685579e-01	1.115434e-04	1.696733e-01
3	1.496716e-01	1.085856e-04	1.507575e-01
4	1.461659e-01	1.077121e-04	1.472430e-01
5	1.455146e-01	1.077134e-04	1.465917e-01
6	1.453937e-01	1.077128e-04	1.464709e-01
7	1.453713e-01	1.077131e-04	1.464484e-01
8	1.453671e-01	1.077130e-04	1.464442e-01
9	1.453663e-01	1.077130e-04	1.464435e-01
10	1.453662e-01	1.077130e-04	1.464433e-01
11	1.453662e-01	1.077130e-04	1.464433e-01
12	1.453662e-01	1.077130e-04	1.464433e-01
13	1.453662e-01	1.077130e-04	1.464433e-01
14	1.453662e-01	1.077130e-04	1.464433e-01
15	1.453662e-01	1.077130e-04	1.464433e-01
16	1.453662e-01	1.077130e-04	1.464433e-01
17	1.453662e-01	1.077130e-04	1.464433e-01
18	1.453662e-01	1.077130e-04	1.464433e-01
19	1.453662e-01	1.077130e-04	1.464433e-01
20	1.453659e-01	1.085916e-04	1.464518e-01
21	1.453659e-01	1.086122e-04	1.464520e-01
22	1.453659e-01	1.086122e-04	1.464520e-01
23	1.453659e-01	1.086122e-04	1.464520e-01
24	1.453659e-01	1.086122e-04	1.464520e-01
25	1.453659e-01	1.086122e-04	1.464520e-01
26	1.453659e-01	1.086122e-04	1.464520e-01
27	1.453659e-01	1.086122e-04	1.464520e-01
28	1.453659e-01	1.086122e-04	1.464520e-01
29	1.453659e-01	1.086122e-04	1.464520e-01
30	1.453659e-01	1.085916e-04	1.464518e-01
