RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.281867e-01	1.000000e+00	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	5.689900e-01	1.000000e+00	3.002280e-01	-3.003681e-01	9.428870e-01	1.084978e-04	-2.992832e-01	-1.316688e-01	-4.713893e-01	2.793208e-01	-9.427785e-01	-1.110223e-14	2.000000e+00
3	5.692225e-01	1.000000e+00	2.970516e-01	1.353652e-01	7.215300e-01	1.086039e-04	1.364512e-01	-1.473800e-01	-3.607107e-01	4.085822e-01	-7.214214e-01	0.000000e+00	2.000000e+00
4	5.691166e-01	1.000000e+00	2.892274e-01	1.435122e-01	8.143389e-01	1.086041e-04	1.445983e-01	-1.430618e-01	-4.071152e-01	3.514038e-01	-8.142303e-01	0.000000e+00	2.000000e+00
5	5.691609e-01	1.000000e+00	2.909053e-01	1.450212e-01	7.738979e-01	1.086040e-04	1.461072e-01	-1.453910e-01	-3.868946e-01	3.757896e-01	-7.737893e-01	0.000000e+00	2.000000e+00
6	5.691435e-01	1.000000e+00	2.898670e-01	1.453019e-01	7.912361e-01	1.086040e-04	1.463880e-01	-1.444736e-01	-3.955637e-01	3.652346e-01	-7.911275e-01	0.000000e+00	2.000000e+00
7	5.691467e-01	1.000000e+00	2.902559e-01	1.453540e-01	7.837500e-01	1.086040e-04	1.464400e-01	-1.448849e-01	-3.918207e-01	3.697734e-01	-7.836414e-01	0.000000e+00	2.000000e+00
8	5.691553e-01	1.000000e+00	2.900775e-01	1.453637e-01	7.869725e-01	1.086040e-04	1.464497e-01	-1.447106e-01	-3.934319e-01	3.678162e-01	-7.868639e-01	0.000000e+00	2.000000e+00
9	1.435400e-01	1.000000e+00	2.901523e-01	1.453655e-01	7.855835e-01	1.086040e-04	1.464515e-01	-1.447863e-01	-3.927375e-01	3.686592e-01	-7.854749e-01	0.000000e+00	2.000000e+00
10	2.665314e-02	1.000000e+00	2.901197e-01	1.453658e-01	7.861819e-01	1.086040e-04	1.464518e-01	-1.447538e-01	-3.930366e-01	3.682959e-01	-7.860732e-01	0.000000e+00	2.000000e+00
11	4.944609e-03	1.000000e+00	2.901337e-01	1.453658e-01	7.859240e-01	1.086040e-04	1.464519e-01	-1.447678e-01	-3.929077e-01	3.684524e-01	-7.858154e-01	0.000000e+00	2.000000e+00
12	1.674917e-01	5.000000e-01	2.901276e-01	1.453659e-01	7.860351e-01	1.086040e-04	1.464519e-01						
13	9.225703e-04	5.000000e-01	2.901276e-01	1.453659e-01	7.860351e-01	1.085872e-04	1.464517e-01	-1.447618e-01	-3.929633e-01	3.683850e-01	-7.859265e-01	0.000000e+00	2.000000e+00
14	-2.000000e+00	2.500000e-01	2.901302e-01	1.453659e-01	7.859873e-01	1.085872e-04	1.464517e-01						
15	-2.000000e+00	1.250000e-01	2.901267e-01	1.453641e-01	7.859880e-01	1.136926e-04	1.465010e-01						
16	-2.000000e+00	6.250000e-02	2.901267e-01	1.453641e-01	7.859880e-01	1.136957e-04	1.465011e-01						
17	9.998187e-01	3.125000e-02	2.901250e-01	1.453632e-01	7.859883e-01	1.162280e-04	1.465255e-01						
18	-2.000000e+00	6.250000e-02	2.901305e-01	1.453660e-01	7.859872e-01	1.081906e-04	1.464479e-01	-1.447645e-01	-3.929395e-01	3.684143e-01	-7.858790e-01	0.000000e+00	2.000000e+00
19	-2.000000e+00	3.125000e-02	2.901239e-01	1.453632e-01	7.860089e-01	1.162274e-04	1.465255e-01						
20	2.713786e-02	1.562500e-02	2.901294e-01	1.453660e-01	7.860078e-01	1.081907e-04	1.464479e-01						
21	-2.000000e+00	1.562500e-02	2.901294e-01	1.453660e-01	7.860078e-01	1.081878e-04	1.464479e-01	-1.447634e-01	-3.929498e-01	3.684017e-01	-7.858996e-01	0.000000e+00	2.000000e+00
22	-2.000000e+00	7.812500e-03	2.901299e-01	1.453660e-01	7.859989e-01	1.081880e-04	1.464479e-01						
23	-2.000000e+00	3.906250e-03	2.901280e-01	1.453651e-01	7.859993e-01	1.109199e-04	1.464743e-01						
24	-2.000000e+00	1.953125e-03	2.901266e-01	1.453644e-01	7.859996e-01	1.129196e-04	1.464936e-01						
25	-2.000000e+00	9.765625e-04	2.901214e-01	1.453618e-01	7.860006e-01	1.205111e-04	1.465669e-01						
26	9.999982e-01	4.882812e-04	2.901290e-01	1.453655e-01	7.859991e-01	1.095199e-04	1.464607e-01						
27	-2.000000e+00	9.765625e-04	2.901308e-01	1.453665e-01	7.859988e-01	1.068832e-04	1.464353e-01	-1.447643e-01	-3.929460e-01	3.684077e-01	-7.858920e-01	0.000000e+00	2.000000e+00
28	9.999959e-01	4.882812e-04	2.901297e-01	1.453660e-01	7.860027e-01	1.081181e-04	1.464472e-01						
29	-2.000000e+00	9.765625e-04	2.901307e-01	1.453665e-01	7.860025e-01	1.067791e-04	1.464343e-01	-1.447642e-01	-3.929479e-01	3.684055e-01	-7.858957e-01	0.000000e+00	2.000000e+00
30		4.882812e-04	2.901298e-01	1.453660e-01	7.860011e-01	1.081181e-04	1.464472e-01						
