RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.286797e-01	-7.500000e-01	6.286797e-01
3	1.571700e-01	-3.217003e-02	1.571700e-01
4	1.454385e-01	1.083504e-04	1.465220e-01
5	1.453794e-01	1.083511e-04	1.464629e-01
6	1.453684e-01	1.083511e-04	1.464520e-01
7	1.453664e-01	1.083511e-04	1.464499e-01
8	1.453660e-01	1.083511e-04	1.464495e-01
9	1.453660e-01	1.083511e-04	1.464495e-01
10	1.453660e-01	1.083511e-04	1.464495e-01
11	1.453659e-01	1.083511e-04	1.464495e-01
12	1.453659e-01	1.083511e-04	1.464495e-01
13	1.453659e-01	1.083511e-04	1.464495e-01
14	1.453659e-01	1.083511e-04	1.464495e-01
15	1.453659e-01	1.083511e-04	1.464495e-01
16	1.453659e-01	1.083511e-04	1.464495e-01
17	1.453659e-01	1.083511e-04	1.464495e-01
18	1.453659e-01	1.083511e-04	1.464495e-01
19	1.453659e-01	1.083511e-04	1.464495e-01
20	1.453659e-01	1.083511e-04	1.464495e-01
21	1.453659e-01	1.083511e-04	1.464495e-01
22	1.453659e-01	1.083511e-04	1.464495e-01
23	1.453659e-01	1.083511e-04	1.464495e-01
24	1.453659e-01	1.083511e-04	1.464495e-01
25	1.453659e-01	1.083511e-04	1.464495e-01
26	1.453659e-01	1.083511e-04	1.464495e-01
27	1.453659e-01	1.083511e-04	1.464495e-01
28	1.453659e-01	1.083511e-04	1.464495e-01
29	1.453659e-01	1.086072e-04	1.464519e-01
30	1.453659e-01	1.083511e-04	1.464495e-01
