RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.928932e-01	-7.928932e-01
2	3.964467e-01	-3.964467e-01
3	3.632633e-01	-3.971966e-01
4	3.706261e-01	-3.911201e-01
5	3.674495e-01	-3.937343e-01
6	3.688173e-01	-3.926073e-01
7	3.682278e-01	-3.930927e-01
8	3.684818e-01	-3.928836e-01
9	3.683724e-01	-3.929737e-01
10	3.684195e-01	-3.929348e-01
11	3.684171e-01	-3.929326e-01
12	3.684181e-01	-3.929336e-01
13	3.684159e-01	-3.929316e-01
14	3.684197e-01	-3.929350e-01
15	3.683956e-01	-3.929483e-01
16	3.683994e-01	-3.929517e-01
17	3.683970e-01	-3.929496e-01
18	3.683954e-01	-3.929482e-01
19	3.684007e-01	-3.929529e-01
20	3.684042e-01	-3.929409e-01
21	3.684094e-01	-3.929457e-01
22	3.684023e-01	-3.929392e-01
23	3.684086e-01	-3.929449e-01
24	3.684088e-01	-3.929451e-01
25	3.684084e-01	-3.929448e-01
26	3.684078e-01	-3.929442e-01
27	3.684071e-01	-3.929436e-01
28	3.684066e-01	-3.929435e-01
29	3.684096e-01	-3.929471e-01
30	3.684035e-01	-3.929461e-01
