RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	1.445903e+00	1.000000e+00	4.500000e+00	4.500000e+00	1.750000e+00	1.750000e+00	2.200000e+01	-2.250000e+00	-1.500000e+00	1.500000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	1.500000e+00	2.000000e+00	1.257359e+00	1.128680e+00	8.357864e-01	-7.500000e-01	1.128680e+00	-6.286797e-01	-7.928932e-01	7.928932e-01	-1.585786e+00	0.000000e+00	2.000000e+00
3	9.976677e-01	4.000000e+00	3.143399e-01	3.143398e-01	7.607233e-01	-3.217003e-02	3.143398e-01	-1.571700e-01	-3.964467e-01	3.964467e-01	-7.928933e-01	0.000000e+00	2.000000e+00
4	5.689652e-01	4.000000e+00	2.897254e-01	1.454135e-01	7.945019e-01	1.086079e-04	1.464996e-01	-1.442870e-01	-3.971966e-01	3.632633e-01	-7.943933e-01	0.000000e+00	2.000000e+00
5	5.691582e-01	4.000000e+00	2.903386e-01	1.453346e-01	7.823489e-01	1.086122e-04	1.464207e-01	-1.449593e-01	-3.911201e-01	3.706261e-01	-7.822403e-01	0.000000e+00	2.000000e+00
6	5.691316e-01	4.000000e+00	2.900458e-01	1.453601e-01	7.875773e-01	1.086122e-04	1.464462e-01	-1.446775e-01	-3.937343e-01	3.674495e-01	-7.874686e-01	0.000000e+00	2.000000e+00
7	3.780809e-01	4.000000e+00	2.901667e-01	1.453648e-01	7.853232e-01	1.086122e-04	1.464509e-01	-1.448004e-01	-3.926073e-01	3.688173e-01	-7.852145e-01	0.000000e+00	2.000000e+00
8	7.015310e-02	4.000000e+00	2.901136e-01	1.453657e-01	7.862941e-01	1.086122e-04	1.464518e-01	-1.447477e-01	-3.930927e-01	3.682278e-01	-7.861855e-01	0.000000e+00	2.000000e+00
9	1.303644e-02	4.000000e+00	2.901363e-01	1.453658e-01	7.858757e-01	1.086122e-04	1.464519e-01	-1.447704e-01	-3.928835e-01	3.684818e-01	-7.857671e-01	0.000000e+00	2.000000e+00
10	2.414103e-03	4.000000e+00	2.901265e-01	1.453659e-01	7.860559e-01	1.086122e-04	1.464520e-01	-1.447606e-01	-3.929737e-01	3.683724e-01	-7.859473e-01	0.000000e+00	2.000000e+00
11	2.009428e-01	2.000000e+00	2.901307e-01	1.453659e-01	7.859783e-01	1.086122e-04	1.464520e-01						
12	4.405894e-04	2.000000e+00	2.901307e-01	1.453659e-01	7.859783e-01	1.085916e-04	1.464518e-01	-1.447649e-01	-3.929348e-01	3.684195e-01	-7.858697e-01	0.000000e+00	2.000000e+00
13	9.999599e-01	1.000000e+00	2.901289e-01	1.453659e-01	7.860117e-01	1.085916e-04	1.464518e-01						
14	-2.000000e+00	2.000000e+00	2.901295e-01	1.453662e-01	7.860116e-01	1.077130e-04	1.464433e-01	-1.447633e-01	-3.929520e-01	3.683996e-01	-7.859039e-01	0.000000e+00	2.000000e+00
15	6.309814e-05	1.000000e+00	2.901297e-01	1.453659e-01	7.859973e-01	1.085916e-04	1.464518e-01						
16	-2.000000e+00	5.000000e-01	2.901303e-01	1.453662e-01	7.859972e-01	1.077130e-04	1.464433e-01						
17	-2.000000e+00	2.500000e-01	2.901262e-01	1.453641e-01	7.859980e-01	1.136992e-04	1.465011e-01						
18	-2.000000e+00	1.250000e-01	2.901277e-01	1.453648e-01	7.859977e-01	1.115518e-04	1.464804e-01						
19	-2.000000e+00	6.250000e-02	2.901300e-01	1.453660e-01	7.859973e-01	1.081884e-04	1.464479e-01						
20	-2.000000e+00	3.125000e-02	2.901300e-01	1.453660e-01	7.859973e-01	1.081898e-04	1.464479e-01						
21	-2.000000e+00	1.562500e-02	2.901279e-01	1.453650e-01	7.859977e-01	1.111978e-04	1.464769e-01						
22	9.999971e-01	7.812500e-03	2.901242e-01	1.453632e-01	7.859984e-01	1.164817e-04	1.465280e-01						
23	-2.000000e+00	1.562500e-02	2.901318e-01	1.453669e-01	7.859969e-01	1.055203e-04	1.464221e-01	-1.447649e-01	-3.929457e-01	3.684094e-01	-7.858914e-01	0.000000e+00	2.000000e+00
24	-2.000000e+00	7.812500e-03	2.901239e-01	1.453632e-01	7.860046e-01	1.164803e-04	1.465280e-01						
25	-2.000000e+00	3.906250e-03	2.901315e-01	1.453669e-01	7.860031e-01	1.055205e-04	1.464221e-01						
26	9.999997e-01	1.953125e-03	2.901308e-01	1.453666e-01	7.860032e-01	1.065523e-04	1.464321e-01						
27	-2.000000e+00	3.906250e-03	2.901336e-01	1.453680e-01	7.860026e-01	1.024246e-04	1.463922e-01	-1.447656e-01	-3.929501e-01	3.684071e-01	-7.859002e-01	0.000000e+00	2.000000e+00
28	4.120300e-03	1.953125e-03	2.901299e-01	1.453661e-01	7.860007e-01	1.080354e-04	1.464464e-01						
29	-2.000000e+00	9.765625e-04	2.901338e-01	1.453680e-01	7.859999e-01	1.024242e-04	1.463922e-01						
30		4.882812e-04	2.901306e-01	1.453664e-01	7.860006e-01	1.070451e-04	1.464368e-01						
