RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-2.280751e-01	-5.896396e-01
2	5.475691e-01	-2.600209e-01
3	2.966661e-01	-4.553294e-01
4	4.005251e-01	-3.671295e-01
5	3.548404e-01	-4.043152e-01
6	3.743627e-01	-3.881482e-01
7	3.659207e-01	-3.950862e-01
8	3.695523e-01	-3.920919e-01
9	3.679866e-01	-3.933810e-01
10	3.686610e-01	-3.928254e-01
11	3.683704e-01	-3.930648e-01
12	3.684956e-01	-3.929617e-01
13	3.684416e-01	-3.930061e-01
14	3.684649e-01	-3.929869e-01
15	3.684548e-01	-3.929952e-01
16	3.684592e-01	-3.929916e-01
17	3.684573e-01	-3.929932e-01
18	3.684581e-01	-3.929925e-01
19	3.684578e-01	-3.929928e-01
20	3.684579e-01	-3.929927e-01
21	3.684578e-01	-3.929927e-01
22	3.684579e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
26	3.684579e-01	-3.929927e-01
27	3.684579e-01	-3.929927e-01
28	3.684579e-01	-3.929927e-01
29	3.684579e-01	-3.929927e-01
30	3.684579e-01	-3.929927e-01
