RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.708788e-01	1.000000e+00	1.220000e+00	1.220000e+00	2.110000e+00	2.110000e+00	2.232000e+01	1.100000e-01	-1.000000e-01	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	1.015155e+00	2.000000e+00	2.719109e-02	-1.921088e-01	1.134613e+00	1.355595e+00	1.336384e+01	-1.352459e-02	1.104912e-01	-1.224042e-01	2.209823e-01	0.000000e+00	2.000000e+00
3	1.002501e+00	4.000000e+00	1.916043e-01	2.769984e-01	8.610470e-01	1.596480e-01	1.873479e+00	-9.186333e-02	-3.506995e-01	2.619431e-01	-7.013990e-01	0.000000e+00	2.000000e+00
4	5.676655e-01	4.000000e+00	2.914587e-01	1.495998e-01	7.669451e-01	1.084219e-04	1.506840e-01	-1.457237e-01	-3.834183e-01	3.800645e-01	-7.668367e-01	0.000000e+00	2.000000e+00
5	5.691358e-01	4.000000e+00	2.897353e-01	1.452069e-01	7.942605e-01	1.086122e-04	1.462930e-01	-1.443009e-01	-3.970759e-01	3.634088e-01	-7.941519e-01	0.000000e+00	2.000000e+00
6	5.691582e-01	4.000000e+00	2.903324e-01	1.453363e-01	7.824523e-01	1.086122e-04	1.464225e-01	-1.449539e-01	-3.911719e-01	3.705631e-01	-7.823437e-01	0.000000e+00	2.000000e+00
7	5.691312e-01	4.000000e+00	2.900481e-01	1.453604e-01	7.875326e-01	1.086122e-04	1.464465e-01	-1.446799e-01	-3.937120e-01	3.674765e-01	-7.874240e-01	0.000000e+00	2.000000e+00
8	3.569532e-01	4.000000e+00	2.901656e-01	1.453648e-01	7.853424e-01	1.086122e-04	1.464510e-01	-1.447993e-01	-3.926169e-01	3.688056e-01	-7.852338e-01	0.000000e+00	2.000000e+00
9	6.623195e-02	4.000000e+00	2.901141e-01	1.453657e-01	7.862858e-01	1.086122e-04	1.464518e-01	-1.447481e-01	-3.930886e-01	3.682329e-01	-7.861772e-01	0.000000e+00	2.000000e+00
10	1.230816e-02	4.000000e+00	2.901361e-01	1.453658e-01	7.858793e-01	1.086122e-04	1.464519e-01	-1.447702e-01	-3.928853e-01	3.684796e-01	-7.857707e-01	0.000000e+00	2.000000e+00
11	2.279075e-03	4.000000e+00	2.901266e-01	1.453659e-01	7.860544e-01	1.086122e-04	1.464520e-01	-1.447607e-01	-3.929729e-01	3.683733e-01	-7.859458e-01	0.000000e+00	2.000000e+00
12	2.008075e-01	2.000000e+00	2.901307e-01	1.453659e-01	7.859790e-01	1.086122e-04	1.464520e-01						
13	4.157201e-04	2.000000e+00	2.901307e-01	1.453659e-01	7.859789e-01	1.085916e-04	1.464518e-01	-1.447648e-01	-3.929352e-01	3.684191e-01	-7.858704e-01	0.000000e+00	2.000000e+00
14	9.999621e-01	1.000000e+00	2.901289e-01	1.453659e-01	7.860115e-01	1.085916e-04	1.464518e-01						
15	-2.000000e+00	2.000000e+00	2.901295e-01	1.453662e-01	7.860113e-01	1.077130e-04	1.464433e-01	-1.447634e-01	-3.929518e-01	3.683998e-01	-7.859036e-01	0.000000e+00	2.000000e+00
16	5.825743e-05	1.000000e+00	2.901297e-01	1.453659e-01	7.859974e-01	1.085916e-04	1.464518e-01						
17	-2.000000e+00	5.000000e-01	2.901303e-01	1.453662e-01	7.859973e-01	1.077130e-04	1.464433e-01						
18	-2.000000e+00	2.500000e-01	2.901262e-01	1.453641e-01	7.859981e-01	1.136992e-04	1.465011e-01						
19	-2.000000e+00	1.250000e-01	2.901276e-01	1.453648e-01	7.859978e-01	1.115518e-04	1.464804e-01						
20	-2.000000e+00	6.250000e-02	2.901300e-01	1.453660e-01	7.859974e-01	1.081884e-04	1.464479e-01						
21	-2.000000e+00	3.125000e-02	2.901300e-01	1.453660e-01	7.859974e-01	1.081898e-04	1.464479e-01						
22	-2.000000e+00	1.562500e-02	2.901279e-01	1.453650e-01	7.859978e-01	1.111978e-04	1.464769e-01						
23	9.999973e-01	7.812500e-03	2.901242e-01	1.453632e-01	7.859985e-01	1.164817e-04	1.465280e-01						
24	-2.000000e+00	1.562500e-02	2.901318e-01	1.453669e-01	7.859970e-01	1.055203e-04	1.464221e-01	-1.447649e-01	-3.929457e-01	3.684093e-01	-7.858915e-01	0.000000e+00	2.000000e+00
25	-2.000000e+00	7.812500e-03	2.901239e-01	1.453632e-01	7.860045e-01	1.164803e-04	1.465280e-01						
26	-2.000000e+00	3.906250e-03	2.901315e-01	1.453669e-01	7.860030e-01	1.055205e-04	1.464221e-01						
27	9.999997e-01	1.953125e-03	2.901308e-01	1.453666e-01	7.860032e-01	1.065523e-04	1.464321e-01						
28	-2.000000e+00	3.906250e-03	2.901336e-01	1.453680e-01	7.860026e-01	1.024246e-04	1.463922e-01	-1.447656e-01	-3.929501e-01	3.684072e-01	-7.859002e-01	0.000000e+00	2.000000e+00
29	4.119265e-03	1.953125e-03	2.901299e-01	1.453661e-01	7.860007e-01	1.080354e-04	1.464464e-01						
30		9.765625e-04	2.901338e-01	1.453680e-01	7.860000e-01	1.024242e-04	1.463922e-01						
