RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	1.366651e-02	1.355595e+00	1.356961e+01
3	9.974101e-02	1.596480e-01	1.696221e+00
4	1.457350e-01	1.084219e-04	1.468192e-01
5	1.454344e-01	1.086122e-04	1.465205e-01
6	1.453786e-01	1.086122e-04	1.464647e-01
7	1.453682e-01	1.086122e-04	1.464543e-01
8	1.453663e-01	1.086122e-04	1.464524e-01
9	1.453659e-01	1.086122e-04	1.464521e-01
10	1.453659e-01	1.086122e-04	1.464520e-01
11	1.453659e-01	1.086122e-04	1.464520e-01
12	1.453659e-01	1.086122e-04	1.464520e-01
13	1.453659e-01	1.085916e-04	1.464518e-01
14	1.453659e-01	1.085916e-04	1.464518e-01
15	1.453662e-01	1.077130e-04	1.464433e-01
16	1.453659e-01	1.085916e-04	1.464518e-01
17	1.453662e-01	1.077130e-04	1.464433e-01
18	1.453641e-01	1.136992e-04	1.465011e-01
19	1.453648e-01	1.115518e-04	1.464804e-01
20	1.453660e-01	1.081884e-04	1.464479e-01
21	1.453660e-01	1.081898e-04	1.464479e-01
22	1.453650e-01	1.111978e-04	1.464769e-01
23	1.453632e-01	1.164817e-04	1.465280e-01
24	1.453669e-01	1.055203e-04	1.464221e-01
25	1.453632e-01	1.164803e-04	1.465280e-01
26	1.453669e-01	1.055205e-04	1.464221e-01
27	1.453666e-01	1.065523e-04	1.464321e-01
28	1.453680e-01	1.024246e-04	1.463922e-01
29	1.453661e-01	1.080354e-04	1.464464e-01
30	1.453680e-01	1.024242e-04	1.463922e-01
