RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.686040e-01	-3.945928e-08	1.686040e-01
3	1.497103e-01	-1.111712e-08	1.497103e-01
4	1.462031e-01	-1.558784e-08	1.462031e-01
5	1.455517e-01	-1.299770e-08	1.455517e-01
6	1.454308e-01	-1.433915e-08	1.454308e-01
7	1.454083e-01	-1.357087e-08	1.454083e-01
8	1.454042e-01	-1.407449e-08	1.454042e-01
9	1.454034e-01	-1.398976e-08	1.454034e-01
10	1.454032e-01	-1.402617e-08	1.454032e-01
11	1.454032e-01	-1.401047e-08	1.454032e-01
12	1.454032e-01	-1.401723e-08	1.454032e-01
13	1.454032e-01	-1.401431e-08	1.454032e-01
14	1.454032e-01	-1.401557e-08	1.454032e-01
15	1.454032e-01	-1.401503e-08	1.454032e-01
16	1.454032e-01	-1.401526e-08	1.454032e-01
17	1.454032e-01	-1.401516e-08	1.454032e-01
18	1.454032e-01	-1.401520e-08	1.454032e-01
19	1.454032e-01	-1.401519e-08	1.454032e-01
20	1.454032e-01	-1.401519e-08	1.454032e-01
21	1.454032e-01	-1.401519e-08	1.454032e-01
22	1.454032e-01	-1.401519e-08	1.454032e-01
23	1.454032e-01	-1.401519e-08	1.454032e-01
24	1.454032e-01	-1.401519e-08	1.454032e-01
25	1.454032e-01	-1.401519e-08	1.454032e-01
