RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.103004e+00	1.155926e-09	1.103004e+00
3	6.869553e-01	-3.247985e-04	6.869553e-01
4	2.032661e-01	-1.600743e-08	2.032661e-01
5	1.561806e-01	-4.847232e-09	1.561806e-01
6	1.474035e-01	-4.668283e-09	1.474035e-01
7	1.457746e-01	-5.880555e-09	1.457746e-01
8	1.454722e-01	-6.648964e-09	1.454722e-01
9	1.454160e-01	-6.835665e-09	1.454160e-01
10	1.454056e-01	-6.801565e-09	1.454056e-01
11	1.454037e-01	-6.825249e-09	1.454037e-01
12	1.454033e-01	-6.816691e-09	1.454033e-01
13	1.454032e-01	-6.820686e-09	1.454032e-01
14	1.454032e-01	-6.819022e-09	1.454032e-01
15	1.454032e-01	-6.819749e-09	1.454032e-01
16	1.454032e-01	-6.819438e-09	1.454032e-01
17	1.454032e-01	-6.819572e-09	1.454032e-01
18	1.454032e-01	-6.819514e-09	1.454032e-01
19	1.454032e-01	-6.819539e-09	1.454032e-01
20	1.454032e-01	-6.819528e-09	1.454032e-01
21	1.454032e-01	-6.819533e-09	1.454032e-01
22	1.454032e-01	-6.819531e-09	1.454032e-01
23	1.454032e-01	-6.819532e-09	1.454032e-01
24	1.454032e-01	-6.819532e-09	1.454032e-01
25	1.454032e-01	-6.819532e-09	1.454032e-01
