RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.040158e+00	1.988149e-02
2	8.622965e-01	-7.158004e-02
3	5.201484e-01	-2.787869e-01
4	3.070504e-01	-4.458787e-01
5	3.957339e-01	-3.709262e-01
6	3.568506e-01	-4.026303e-01
7	3.734862e-01	-3.888648e-01
8	3.662965e-01	-3.947757e-01
9	3.693900e-01	-3.922254e-01
10	3.680564e-01	-3.933235e-01
11	3.686309e-01	-3.928502e-01
12	3.683833e-01	-3.930541e-01
13	3.684900e-01	-3.929663e-01
14	3.684440e-01	-3.930041e-01
15	3.684638e-01	-3.929878e-01
16	3.684553e-01	-3.929948e-01
17	3.684590e-01	-3.929918e-01
18	3.684574e-01	-3.929931e-01
19	3.684581e-01	-3.929925e-01
20	3.684578e-01	-3.929928e-01
21	3.684579e-01	-3.929927e-01
22	3.684578e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
