RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.014094e+00	4.881311e-02
2	8.456602e-01	-5.903028e-02
3	5.141576e-01	-2.828740e-01
4	3.092659e-01	-4.437788e-01
5	3.946402e-01	-3.717087e-01
6	3.572356e-01	-4.022176e-01
7	3.732434e-01	-3.889750e-01
8	3.663257e-01	-3.946621e-01
9	3.693024e-01	-3.922084e-01
10	3.680192e-01	-3.932650e-01
11	3.685720e-01	-3.928096e-01
12	3.683338e-01	-3.930058e-01
13	3.684364e-01	-3.929213e-01
14	3.683922e-01	-3.929577e-01
15	3.684112e-01	-3.929420e-01
16	3.684030e-01	-3.929487e-01
17	3.684066e-01	-3.929458e-01
18	3.684050e-01	-3.929471e-01
19	3.684057e-01	-3.929465e-01
20	3.684054e-01	-3.929468e-01
21	3.684055e-01	-3.929467e-01
22	3.684055e-01	-3.929467e-01
23	3.684055e-01	-3.929467e-01
24	3.684055e-01	-3.929467e-01
25	3.684055e-01	-3.929467e-01
26	3.684055e-01	-3.929467e-01
27	3.684055e-01	-3.929467e-01
28	3.684055e-01	-3.929467e-01
29	3.684055e-01	-3.929467e-01
30	3.684055e-01	-3.929467e-01
