RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.080270e+00	8.591535e-02	1.939423e+00
3	6.687062e-01	3.976383e-02	1.066344e+00
4	1.989339e-01	1.120716e-04	2.000546e-01
5	1.553393e-01	1.161670e-04	1.565010e-01
6	1.472170e-01	1.097797e-04	1.483148e-01
7	1.457098e-01	1.081841e-04	1.467917e-01
8	1.454298e-01	1.081890e-04	1.465117e-01
9	1.453779e-01	1.081868e-04	1.464597e-01
10	1.453682e-01	1.081877e-04	1.464501e-01
11	1.453664e-01	1.081873e-04	1.464483e-01
12	1.453661e-01	1.081875e-04	1.464480e-01
13	1.453660e-01	1.081874e-04	1.464479e-01
14	1.453660e-01	1.081875e-04	1.464479e-01
15	1.453660e-01	1.081874e-04	1.464479e-01
16	1.453660e-01	1.081874e-04	1.464479e-01
17	1.453660e-01	1.081874e-04	1.464479e-01
18	1.453660e-01	1.081874e-04	1.464479e-01
19	1.453660e-01	1.081874e-04	1.464479e-01
20	1.453660e-01	1.081874e-04	1.464479e-01
21	1.453660e-01	1.081874e-04	1.464479e-01
22	1.453660e-01	1.081874e-04	1.464479e-01
23	1.453660e-01	1.081874e-04	1.464479e-01
24	1.453660e-01	1.081874e-04	1.464479e-01
25	1.453660e-01	1.081874e-04	1.464479e-01
26	1.453660e-01	1.081874e-04	1.464479e-01
27	1.453660e-01	1.081874e-04	1.464479e-01
28	1.453660e-01	1.081874e-04	1.464479e-01
29	1.453660e-01	1.081874e-04	1.464479e-01
30	1.453660e-01	1.081874e-04	1.464479e-01
