RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.948307e-01	1.000000e-01	1.220000e+00	1.220000e+00	-9.000000e-02	-9.000000e-02	1.220000e+00	1.100000e-01	1.000000e-01	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	9.778104e-01	2.000000e-01	1.055155e+00	1.082989e+00	-2.568824e-02	3.824417e-02	1.465431e+00	3.282003e-02	3.196621e-02	1.026710e+00	6.393241e-02	0.000000e+00	2.000000e+00
3	8.703495e-01	4.000000e-01	7.402101e-01	6.587026e-01	1.483350e-01	1.189133e-04	6.598917e-01	-6.352224e-02	-7.410806e-02	8.571570e-01	-1.482161e-01	0.000000e+00	2.000000e+00
4	5.693893e-01	4.000000e-01	3.451783e-01	1.287914e-01	5.640996e-01	1.136540e-04	1.299280e-01	-1.453449e-01	-2.819930e-01	5.154204e-01	-5.639860e-01	0.000000e+00	2.000000e+00
5	5.690382e-01	4.000000e-01	2.926742e-01	1.219868e-01	8.885452e-01	1.136868e-04	1.231237e-01	-1.371660e-01	-4.442158e-01	3.087824e-01	-8.884315e-01	0.000000e+00	2.000000e+00
6	5.692093e-01	4.000000e-01	2.939495e-01	1.409903e-01	7.431746e-01	1.137033e-04	1.421273e-01	-1.467026e-01	-3.715305e-01	3.948603e-01	-7.430609e-01	0.000000e+00	2.000000e+00
7	5.690995e-01	4.000000e-01	2.893886e-01	1.445533e-01	8.047003e-01	1.136953e-04	1.456903e-01	-1.436749e-01	-4.022933e-01	3.571396e-01	-8.045866e-01	0.000000e+00	2.000000e+00
8	5.692208e-01	4.000000e-01	2.906128e-01	1.452134e-01	7.779924e-01	1.136985e-04	1.463504e-01	-1.451838e-01	-3.889393e-01	3.732814e-01	-7.778787e-01	0.000000e+00	2.000000e+00
9	5.689959e-01	4.000000e-01	2.899475e-01	1.453362e-01	7.894621e-01	1.136971e-04	1.464731e-01	-1.445714e-01	-3.946742e-01	3.663056e-01	-7.893484e-01	0.000000e+00	2.000000e+00
10	5.694930e-01	4.000000e-01	2.902086e-01	1.453589e-01	7.845134e-01	1.136977e-04	1.464959e-01	-1.448423e-01	-3.921999e-01	3.693073e-01	-7.843997e-01	0.000000e+00	2.000000e+00
11	5.683480e-01	4.000000e-01	2.900914e-01	1.453631e-01	7.866443e-01	1.136974e-04	1.465001e-01	-1.447269e-01	-3.932653e-01	3.680133e-01	-7.865306e-01	0.000000e+00	2.000000e+00
12	5.709918e-01	4.000000e-01	2.901410e-01	1.453639e-01	7.857260e-01	1.136975e-04	1.465009e-01	-1.447768e-01	-3.928061e-01	3.685707e-01	-7.856123e-01	0.000000e+00	2.000000e+00
13	5.648072e-01	4.000000e-01	2.901195e-01	1.453641e-01	7.861216e-01	1.136975e-04	1.465011e-01	-1.447553e-01	-3.930039e-01	3.683305e-01	-7.860079e-01	0.000000e+00	2.000000e+00
14	5.788961e-01	4.000000e-01	2.901287e-01	1.453641e-01	7.859511e-01	1.136975e-04	1.465011e-01	-1.447646e-01	-3.929187e-01	3.684340e-01	-7.858374e-01	0.000000e+00	2.000000e+00
15	5.446837e-01	4.000000e-01	2.901247e-01	1.453641e-01	7.860245e-01	1.136975e-04	1.465011e-01	-1.447606e-01	-3.929554e-01	3.683894e-01	-7.859109e-01	0.000000e+00	2.000000e+00
16	6.169220e-01	4.000000e-01	2.901264e-01	1.453641e-01	7.859929e-01	1.136975e-04	1.465011e-01	-1.447623e-01	-3.929396e-01	3.684086e-01	-7.858792e-01	0.000000e+00	2.000000e+00
17	3.936204e-01	4.000000e-01	2.901257e-01	1.453641e-01	7.860065e-01	1.136975e-04	1.465011e-01	-1.447616e-01	-3.929464e-01	3.684003e-01	-7.858928e-01	0.000000e+00	2.000000e+00
18	7.423386e-01	4.000000e-01	2.901260e-01	1.453641e-01	7.860007e-01	1.136975e-04	1.465011e-01	-1.447619e-01	-3.929435e-01	3.684039e-01	-7.858870e-01	0.000000e+00	2.000000e+00
19	1.768894e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860032e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929447e-01	3.684024e-01	-7.858895e-01	0.000000e+00	2.000000e+00
20	9.067378e-01	4.000000e-01	2.901259e-01	1.453641e-01	7.860021e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929442e-01	3.684030e-01	-7.858884e-01	0.000000e+00	2.000000e+00
21	1.058395e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860026e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858889e-01	0.000000e+00	2.000000e+00
22	9.786748e-01	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929443e-01	3.684029e-01	-7.858887e-01	0.000000e+00	2.000000e+00
23	1.009452e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860025e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858888e-01	0.000000e+00	2.000000e+00
24	9.957204e-01	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
25	1.000000e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
26	9.949239e-01	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
27	1.000000e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
28	1.000000e+00	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
29	nan	4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
30		4.000000e-01	2.901259e-01	1.453641e-01	7.860024e-01	1.136975e-04	1.465011e-01	-1.447618e-01	-3.929444e-01	3.684028e-01	-7.858887e-01	0.000000e+00	2.000000e+00
