RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.429289e+00	-1.429289e+00
2	1.287868e+00	-1.287868e+00
3	1.005025e+00	-1.005025e+00
4	7.221825e-01	-7.221825e-01
5	4.393398e-01	-4.393398e-01
6	3.652006e-01	-3.955903e-01
7	3.697853e-01	-3.918068e-01
8	3.697820e-01	-3.918038e-01
9	3.678075e-01	-3.934349e-01
10	3.686594e-01	-3.927331e-01
11	3.682923e-01	-3.930354e-01
12	3.684505e-01	-3.929051e-01
13	3.683823e-01	-3.929613e-01
14	3.684117e-01	-3.929371e-01
15	3.683990e-01	-3.929475e-01
16	3.684045e-01	-3.929430e-01
17	3.684021e-01	-3.929450e-01
18	3.684031e-01	-3.929441e-01
19	3.684027e-01	-3.929445e-01
20	3.684029e-01	-3.929443e-01
21	3.684028e-01	-3.929444e-01
22	3.684029e-01	-3.929444e-01
23	3.684028e-01	-3.929444e-01
24	3.684028e-01	-3.929444e-01
25	3.684028e-01	-3.929444e-01
26	3.684028e-01	-3.929444e-01
27	3.684028e-01	-3.929444e-01
28	3.684028e-01	-3.929444e-01
29	3.684028e-01	-3.929444e-01
30	3.684028e-01	-3.929444e-01
