RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.429289e+00	-1.429289e+00
2	1.287868e+00	-1.287868e+00
3	1.005025e+00	-1.005025e+00
4	7.221825e-01	-7.221825e-01
5	4.393398e-01	-4.393398e-01
6	3.652525e-01	-3.956388e-01
7	3.698410e-01	-3.918545e-01
8	3.678623e-01	-3.934834e-01
9	3.687145e-01	-3.927813e-01
10	3.683473e-01	-3.930838e-01
11	3.685055e-01	-3.929535e-01
12	3.684373e-01	-3.930096e-01
13	3.684667e-01	-3.929854e-01
14	3.684541e-01	-3.929958e-01
15	3.684595e-01	-3.929914e-01
16	3.684572e-01	-3.929933e-01
17	3.684582e-01	-3.929925e-01
18	3.684577e-01	-3.929928e-01
19	3.684579e-01	-3.929927e-01
20	3.684578e-01	-3.929927e-01
21	3.684579e-01	-3.929927e-01
22	3.684579e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
26	3.684579e-01	-3.929927e-01
27	3.684579e-01	-3.929927e-01
28	3.684579e-01	-3.929927e-01
29	3.684579e-01	-3.929927e-01
30	3.684579e-01	-3.929927e-01
