RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.036963e+00	-1.776297e-01
2	-8.954134e-01	-3.189226e-01
3	-5.587370e-01	-5.349063e-01
4	-1.876395e-01	-6.841934e-01
5	1.928643e-01	-5.608368e-01
6	4.522332e-01	-3.275172e-01
7	3.336466e-01	-4.223785e-01
8	3.837099e-01	-3.805568e-01
9	3.619324e-01	-3.983918e-01
10	3.712779e-01	-3.906742e-01
11	3.672444e-01	-3.939930e-01
12	3.689810e-01	-3.925620e-01
13	3.682325e-01	-3.931783e-01
14	3.685549e-01	-3.929127e-01
15	3.684160e-01	-3.930272e-01
16	3.684759e-01	-3.929779e-01
17	3.684501e-01	-3.929991e-01
18	3.684612e-01	-3.929900e-01
19	3.684564e-01	-3.929939e-01
20	3.684585e-01	-3.929922e-01
21	3.684576e-01	-3.929929e-01
22	3.684580e-01	-3.929926e-01
23	3.684578e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
26	3.684579e-01	-3.929927e-01
27	3.684579e-01	-3.929927e-01
28	3.684579e-01	-3.929927e-01
29	3.684579e-01	-3.929927e-01
30	3.684579e-01	-3.929927e-01
