RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.440000e+00
2	1.686039e-01	-2.718269e-08	1.686039e-01
3	1.339870e+00	-8.269642e-09	1.339870e+00
4	3.760867e-01	-6.832329e-09	3.760867e-01
5	1.732475e-01	-6.063695e-09	1.732475e-01
6	1.454676e-01	-5.744055e-09	1.454676e-01
7	1.686039e-01	-5.216846e-09	1.686039e-01
8	1.505775e-01	-5.556191e-09	1.505775e-01
9	1.464209e-01	-2.069852e-09	1.464209e-01
10	1.455454e-01	-5.783252e-09	1.455454e-01
11	1.454070e-01	-5.821992e-09	1.454070e-01
12	1.455454e-01	-5.761902e-09	1.455454e-01
13	1.454513e-01	-5.780837e-09	1.454513e-01
14	1.454230e-01	-5.789976e-09	1.454230e-01
15	1.454135e-01	-5.795062e-09	1.454135e-01
16	1.454099e-01	-5.797397e-09	1.454099e-01
17	1.454084e-01	-5.798543e-09	1.454084e-01
18	1.454078e-01	-5.799057e-09	1.454078e-01
19	1.454087e-01	-5.797856e-09	1.454087e-01
20	1.454097e-01	-5.796655e-09	1.454097e-01
21	1.454108e-01	-5.795456e-09	1.454108e-01
22	1.454105e-01	-5.795653e-09	1.454105e-01
23	1.454113e-01	-5.794763e-09	1.454113e-01
24	1.454122e-01	-5.793874e-09	1.454122e-01
25	1.454131e-01	-2.101581e-09	1.454131e-01
