RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	5.480381e-01	3.947694e-01	4.495732e+00
3	2.956878e+00	-7.957532e-09	2.956878e+00
4	9.493215e-01	-3.510085e-09	9.493215e-01
5	2.956878e+00	-6.740237e-09	2.956878e+00
6	3.167697e-01	-9.250399e-09	3.167697e-01
7	9.493215e-01	-2.713805e-09	9.493215e-01
8	1.945155e-01	-7.314457e-09	1.945155e-01
9	3.167697e-01	-7.700523e-09	3.167697e-01
10	1.552042e-01	-7.116737e-09	1.552042e-01
11	1.945155e-01	-6.379851e-09	1.945155e-01
12	1.490512e-01	-7.157782e-09	1.490512e-01
13	1.552042e-01	-7.307605e-09	1.552042e-01
14	1.457835e-01	-7.023228e-09	1.457835e-01
15	1.490512e-01	-6.912612e-09	1.490512e-01
16	1.458192e-01	-2.558762e-09	1.458192e-01
17	1.454034e-01	-7.129498e-09	1.454034e-01
18	1.458192e-01	-7.012374e-09	1.458192e-01
19	1.455116e-01	-7.048931e-09	1.455116e-01
20	1.454326e-01	-7.067168e-09	1.454326e-01
21	1.454118e-01	-7.076082e-09	1.454118e-01
22	1.454061e-01	-7.080855e-09	1.454061e-01
23	1.454044e-01	-7.083108e-09	1.454044e-01
24	1.454061e-01	-7.079444e-09	1.454061e-01
25	1.454052e-01	-7.080542e-09	1.454052e-01
