RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	3.240000e+00
2	7.104509e-02	7.477336e-01	8.187787e-01
3	7.352209e-01	-9.484520e-09	7.352209e-01
4	4.041180e-01	-3.366359e-09	4.041180e-01
5	7.352209e-01	-1.324924e-09	7.352209e-01
6	1.646290e-01	-5.004118e-09	1.646290e-01
7	4.041180e-01	-2.776153e-09	4.041180e-01
8	1.782100e-01	-4.128819e-09	1.782100e-01
9	1.458161e-01	-5.199639e-09	1.458161e-01
10	1.646290e-01	-5.240164e-09	1.646290e-01
11	1.489279e-01	-4.866238e-09	1.489279e-01
12	1.457864e-01	-4.710350e-09	1.457864e-01
13	1.458161e-01	-4.714240e-09	1.458161e-01
14	1.454033e-01	-4.800967e-09	1.454033e-01
15	1.458162e-01	-4.670900e-09	1.458162e-01
16	1.455101e-01	-1.063797e-09	1.455101e-01
17	1.454318e-01	-4.659189e-09	1.454318e-01
18	1.454114e-01	-1.076741e-09	1.454114e-01
19	1.454058e-01	-4.674475e-09	1.454058e-01
20	1.454042e-01	-4.761131e-09	1.454042e-01
21	1.454059e-01	-4.756941e-09	1.454059e-01
22	1.454050e-01	-4.674548e-09	1.454050e-01
23	1.454060e-01	-4.672376e-09	1.454060e-01
24	1.454056e-01	-4.672771e-09	1.454056e-01
25	1.454062e-01	-4.671470e-09	1.454062e-01
