RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.048322e-01	-1.981887e-01
2	8.854370e-01	-5.902339e-02
3	3.480788e-01	-4.100179e-01
4	7.607935e-01	-1.277652e-01
5	5.479088e-01	-2.597914e-01
6	4.459225e-01	-3.322257e-01
7	3.964094e-01	-3.703895e-01
8	3.720856e-01	-3.900118e-01
9	3.480789e-01	-4.100179e-01
10	3.600412e-01	-3.999657e-01
11	3.660530e-01	-3.949769e-01
12	3.600405e-01	-3.999662e-01
13	3.630435e-01	-3.974691e-01
14	3.645462e-01	-3.962234e-01
15	3.652966e-01	-3.956023e-01
16	3.656690e-01	-3.952943e-01
17	3.658498e-01	-3.951449e-01
18	3.659315e-01	-3.950773e-01
19	3.659628e-01	-3.950514e-01
20	3.659725e-01	-3.950434e-01
21	3.659751e-01	-3.950412e-01
22	3.659758e-01	-3.950407e-01
23	3.659760e-01	-3.950405e-01
24	3.659760e-01	-3.950405e-01
25	3.659760e-01	-3.950405e-01
