RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.076686e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	2.110000e+00	2.110000e+00	-1.650000e-01	2.550000e+00	-4.480000e+00	-1.480000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	-1.101129e-01	1.000000e+00	-1.089759e-01	-1.635853e+00	1.215816e+00	6.020387e-01	-1.334834e+00	2.552804e-01	-7.734309e-01	-1.329191e+00	-6.137776e-01	0.000000e+00	2.000000e+00
3	4.012355e-01	5.000000e-01	-7.312127e-01	-1.534023e+00	1.543339e-01	-6.815401e-09	-1.534023e+00						
4	-1.902606e+00	5.000000e-01	-2.904756e-01	-3.050988e-01	7.813168e-01	1.387593e-10	-3.050988e-01	4.359008e-01	1.114530e+00	-1.171336e+00	-7.813168e-01	0.000000e+00	2.000000e+00
5	-1.619885e+00	2.500000e-01	-6.024067e-01	-7.405911e-02	1.548961e+00	-2.411063e-09	-7.405911e-02						
6	-1.322395e+00	1.250000e-01	-3.537745e-01	8.309889e-02	1.126848e+00	-3.841994e-09	8.309889e-02						
7	-9.640558e-01	6.250000e-02	-3.009520e-01	1.271132e-01	9.464959e-01	-4.546170e-09	1.271132e-01						
8	-5.827089e-01	3.125000e-02	-2.905949e-01	1.395692e-01	8.622023e-01	-4.806264e-09	1.395692e-01						
9	-2.519418e-01	1.562500e-02	-2.892740e-01	1.433315e-01	8.213548e-01	-1.823921e-09	1.433315e-01						
10	-1.610747e-02	7.812500e-03	-2.895616e-01	1.445880e-01	8.012373e-01	-5.108260e-09	1.445880e-01						
11	1.290001e-01	3.906250e-03	-2.899405e-01	1.450591e-01	7.912533e-01	-5.148418e-09	1.450591e-01						
12	-2.316468e-01	3.906250e-03	-2.901885e-01	1.452553e-01	7.862802e-01	-5.168448e-09	1.452553e-01	4.355918e-01	1.099976e+00	-1.184281e+00	-7.862802e-01	0.000000e+00	2.000000e+00
13	-1.355932e-01	1.953125e-03	-2.899404e-01	1.452831e-01	7.912556e-01	-5.137011e-09	1.452831e-01						
14	-8.339890e-02	9.765625e-04	-2.900595e-01	1.453464e-01	7.887687e-01	-5.146725e-09	1.453464e-01						
15	1.000000e+00	4.882812e-04	-2.901225e-01	1.453756e-01	7.875289e-01	-5.151885e-09	1.453756e-01						
16	-1.218299e-01	4.882812e-04	-2.901547e-01	1.453894e-01	7.869140e-01	-5.154334e-09	1.453894e-01	4.355588e-01	1.098121e+00	-1.185934e+00	-7.869140e-01	0.000000e+00	2.000000e+00
17	1.000000e+00	2.441406e-04	-2.901215e-01	1.453910e-01	7.875481e-01	-5.150351e-09	1.453910e-01						
18	1.000000e+00	2.441406e-04	-2.901371e-01	1.453972e-01	7.872495e-01	-5.151544e-09	1.453972e-01	4.355419e-01	1.097139e+00	-1.186808e+00	-7.872496e-01	0.000000e+00	2.000000e+00
19	-1.865427e-01	2.441406e-04	-2.901196e-01	1.453982e-01	7.875851e-01	-5.149441e-09	1.453982e-01	4.355254e-01	1.096157e+00	-1.187683e+00	-7.875851e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	1.220703e-04	-2.901023e-01	1.453994e-01	7.879208e-01	-5.147340e-09	1.453994e-01						
21	1.000000e+00	1.220703e-04	-2.901093e-01	1.454020e-01	7.877858e-01	-5.147876e-09	1.454020e-01	4.355157e-01	1.095570e+00	-1.188206e+00	-7.877858e-01	0.000000e+00	2.000000e+00
22	1.000000e+00	1.220703e-04	-2.900990e-01	1.454027e-01	7.879865e-01	-5.146622e-09	1.454027e-01	4.355062e-01	1.094983e+00	-1.188729e+00	-7.879865e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	1.220703e-04	-2.900887e-01	1.454036e-01	7.881873e-01	-5.145368e-09	1.454036e-01	4.354968e-01	1.094396e+00	-1.189252e+00	-7.881873e-01	0.000000e+00	2.000000e+00
24	-2.897548e-01	1.220703e-04	-2.900786e-01	1.454045e-01	7.883880e-01	-5.144115e-09	1.454045e-01	4.354876e-01	1.093810e+00	-1.189775e+00	-7.883880e-01	0.000000e+00	2.000000e+00
25		6.103516e-05	-2.900685e-01	1.454055e-01	7.885888e-01	-5.142863e-09	1.454055e-01						
