RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.880000e+00
2	1.685581e-01	1.110875e-04	1.691135e-01
3	1.339852e+00	1.085846e-04	1.340395e+00
4	3.760642e-01	1.098310e-04	3.766133e-01
5	1.732168e-01	1.089206e-04	1.737614e-01
6	1.454292e-01	1.127533e-04	1.459930e-01
7	1.685579e-01	1.115182e-04	1.691155e-01
8	1.505357e-01	1.114499e-04	1.510930e-01
9	1.463814e-01	1.106461e-04	1.469346e-01
10	1.455049e-01	1.162222e-04	1.460860e-01
11	1.453655e-01	1.205313e-04	1.459681e-01
12	1.455048e-01	1.164878e-04	1.460873e-01
13	1.454096e-01	1.203052e-04	1.460112e-01
14	1.453853e-01	1.089862e-04	1.459302e-01
15	1.454136e-01	1.089722e-04	1.459585e-01
16	1.453987e-01	1.067252e-04	1.459323e-01
17	1.453919e-01	1.072858e-04	1.459283e-01
18	1.453987e-01	1.072794e-04	1.459351e-01
19	1.453950e-01	1.085422e-04	1.459377e-01
20	1.454027e-01	1.072909e-04	1.459391e-01
21	1.453987e-01	1.085637e-04	1.459415e-01
22	1.453967e-01	1.101198e-04	1.459473e-01
23	1.454011e-01	1.085907e-04	1.459440e-01
24	1.454052e-01	1.085651e-04	1.459480e-01
25	1.454030e-01	1.101386e-04	1.459537e-01
26	1.454077e-01	1.085915e-04	1.459507e-01
27	1.454122e-01	1.085661e-04	1.459550e-01
28	1.454099e-01	1.101341e-04	1.459605e-01
29	1.454150e-01	1.085997e-04	1.459580e-01
30	1.454198e-01	1.085545e-04	1.459626e-01
