RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3.235774e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	-9.000000e-02	-9.000000e-02	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	-4.283393e-01	1.000000e+00	-2.627105e-01	-2.335126e+00	9.357314e-01	5.182454e-02	-2.329944e+00	4.106937e-01	6.164124e-01	-1.488222e+00	-8.839068e-01	0.000000e+00	2.000000e+00
3	-4.314220e-02	5.000000e-01	-3.837571e-01	-1.455385e+00	1.042310e+00	2.158314e+00	-1.239553e+00						
4	3.292046e-01	2.500000e-01	-7.259945e-02	-4.038240e-01	7.402492e-01	8.563175e-01	-3.181923e-01						
5	-1.278802e-01	2.500000e-01	-1.050504e-01	-6.544058e-02	7.756920e-01	3.917755e-01	-2.626303e-02	1.599698e-01	8.726655e-01	-4.866772e-01	-3.839166e-01	0.000000e+00	2.000000e+00
6	2.155222e-01	1.250000e-01	-5.793352e-02	-8.857040e-02	1.041833e+00	5.614904e-01	-3.242136e-02						
7	-6.745895e-02	1.250000e-01	-6.688290e-02	-8.391801e-04	9.086550e-01	4.723884e-01	4.639966e-02	1.034612e-01	3.575753e-01	-7.136061e-01	-4.362666e-01	0.000000e+00	2.000000e+00
8	3.693764e-01	6.250000e-02	-3.628288e-02	-1.092383e-02	8.445449e-01	6.529347e-01	5.436963e-02						
9	-2.944989e-01	6.250000e-02	-4.717055e-02	1.654632e-02	8.741613e-01	5.607739e-01	7.262372e-02	7.077568e-02	4.648726e-01	-4.563832e-01	-3.133874e-01	0.000000e+00	2.000000e+00
10	1.619251e-02	3.125000e-02	-3.953956e-02	1.284507e-02	9.400430e-01	5.866291e-01	7.150798e-02						
11	1.874971e-01	3.125000e-02	-4.269583e-02	1.935361e-02	9.069884e-01	5.720742e-01	7.656103e-02	6.512038e-02	3.367570e-01	-5.287748e-01	-3.349142e-01	0.000000e+00	2.000000e+00
12	-1.648720e-01	3.125000e-02	-3.536574e-02	1.629333e-02	8.901404e-01	6.158420e-01	7.787753e-02	5.308457e-02	3.975289e-01	-3.999272e-01	-2.742984e-01	0.000000e+00	2.000000e+00
13	1.211454e-01	1.562500e-02	-3.703188e-02	1.657809e-02	9.183732e-01	5.987115e-01	7.644924e-02						
14	-1.399748e+00	1.562500e-02	-3.610339e-02	1.746720e-02	9.039172e-01	6.063989e-01	7.810708e-02	5.462164e-02	3.440892e-01	-4.568246e-01	-2.975183e-01	0.000000e+00	2.000000e+00
15	-1.298803e+00	7.812500e-03	-3.736271e-02	1.901437e-02	9.179163e-01	5.970591e-01	7.872028e-02						
16	-1.214435e+00	3.906250e-03	-3.684519e-02	1.891333e-02	9.106192e-01	6.008332e-01	7.899665e-02						
17	-1.157368e+00	1.953125e-03	-3.650074e-02	1.875169e-02	9.071907e-01	6.033999e-01	7.909168e-02						
18	-1.123597e+00	9.765625e-04	-3.630856e-02	1.864390e-02	9.055358e-01	6.048455e-01	7.912845e-02						
19	-1.105245e+00	4.882812e-04	-3.620790e-02	1.858350e-02	9.047245e-01	6.056063e-01	7.914413e-02						
20	-1.095912e+00	2.441406e-04	-3.615682e-02	1.855192e-02	9.043258e-01	6.059933e-01	7.915125e-02						
21	-1.091597e+00	1.220703e-04	-3.613176e-02	1.853621e-02	9.041331e-01	6.061834e-01	7.915456e-02						
22	-1.089927e+00	6.103516e-05	-3.612037e-02	1.852903e-02	9.040462e-01	6.062699e-01	7.915601e-02						
23	-1.089407e+00	3.051758e-05	-3.611600e-02	1.852626e-02	9.040129e-01	6.063031e-01	7.915657e-02						
24	-1.089267e+00	1.525879e-05	-3.611464e-02	1.852540e-02	9.040026e-01	6.063134e-01	7.915674e-02						
25	-1.089231e+00	7.629395e-06	-3.611428e-02	1.852517e-02	9.039998e-01	6.063161e-01	7.915678e-02						
26	-1.089222e+00	3.814697e-06	-3.611419e-02	1.852511e-02	9.039991e-01	6.063169e-01	7.915680e-02						
27	-1.089220e+00	1.907349e-06	-3.611416e-02	1.852510e-02	9.039989e-01	6.063170e-01	7.915680e-02						
28	-1.089224e+00	9.536743e-07	-3.611416e-02	1.852509e-02	9.039989e-01	6.063171e-01	7.915680e-02						
29	-1.089220e+00	4.768372e-07	-3.611417e-02	1.852510e-02	9.039990e-01	6.063170e-01	7.915680e-02						
30		2.384186e-07	-3.611415e-02	1.852509e-02	9.039989e-01	6.063171e-01	7.915680e-02						
