RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	4.748979e-01	3.714310e-01	8.463289e-01
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	5.540300e-01	9.124104e-09	5.540300e-01
6	2.289487e-01	4.088232e-09	2.289487e-01
7	1.556000e-01	1.870329e-09	1.556000e-01
8	1.488655e-01	2.903849e-10	1.488655e-01
9	1.556000e-01	7.334870e-10	1.556000e-01
10	1.458380e-01	2.111005e-10	1.458380e-01
11	1.488655e-01	4.793044e-11	1.488655e-01
12	1.457660e-01	2.584202e-10	1.457660e-01
13	1.458380e-01	3.537086e-10	1.458380e-01
14	1.454040e-01	2.363696e-10	1.454040e-01
15	1.458380e-01	4.168726e-10	1.458380e-01
16	1.455213e-01	3.601406e-10	1.455213e-01
17	1.454378e-01	3.319256e-10	1.454378e-01
18	1.454147e-01	3.178613e-10	1.454147e-01
19	1.454078e-01	3.108520e-10	1.454078e-01
20	1.454055e-01	3.073782e-10	1.454055e-01
21	1.454047e-01	3.057496e-10	1.454047e-01
22	1.454057e-01	3.087490e-10	1.454057e-01
23	1.454068e-01	3.117492e-10	1.454068e-01
24	1.454063e-01	3.117402e-10	1.454063e-01
25	1.454071e-01	3.129426e-10	1.454071e-01
26	1.454079e-01	3.147352e-10	1.454079e-01
27	1.454088e-01	3.165579e-10	1.454088e-01
28	1.454098e-01	3.183968e-10	1.454098e-01
29	1.454109e-01	3.202324e-10	1.454109e-01
30	1.454106e-01	3.671300e-10	1.454106e-01
