RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.835288e-01	-8.023833e-01
2	8.384532e-02	-8.793036e-02
3	-7.269638e-01	4.973802e-01
4	-3.215593e-01	2.047249e-01
5	-1.188570e-01	5.839730e-02
6	-1.750585e-02	-1.476652e-02
7	7.503651e-02	6.926275e-02
8	2.876537e-02	2.724815e-02
9	5.629834e-03	6.240889e-03
10	-1.628806e-02	-1.603415e-02
11	-5.329267e-03	-4.896786e-03
12	-1.585407e-02	-1.644569e-02
13	-1.059194e-02	-1.067153e-02
14	-7.961171e-03	-7.784783e-03
15	-6.646409e-03	-6.342090e-03
16	-5.990299e-03	-5.622139e-03
17	-5.664766e-03	-5.264931e-03
18	-5.506738e-03	-5.091526e-03
19	-5.435314e-03	-5.013152e-03
20	-5.408090e-03	-4.983279e-03
21	-5.399602e-03	-4.973965e-03
22	-5.397157e-03	-4.971282e-03
23	-5.396573e-03	-4.970641e-03
24	-5.396426e-03	-4.970480e-03
25	-5.396389e-03	-4.970440e-03
26	-5.396380e-03	-4.970430e-03
27	-5.396378e-03	-4.970427e-03
28	-5.396377e-03	-4.970426e-03
29	-5.396377e-03	-4.970426e-03
30	-5.396377e-03	-4.970426e-03
