RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.024932e-01	-2.942905e-02
2	8.966721e-01	1.141997e-02
3	3.975066e-01	-2.901716e-02
4	1.474424e-01	-3.510259e-02
5	2.242969e-02	-3.381912e-02
6	-4.108014e-02	-1.414830e-01
7	-1.034511e-02	-8.703633e-02
8	5.804063e-03	-6.027964e-02
9	1.405950e-02	-4.701340e-02
10	1.823095e-02	-4.040809e-02
11	2.032767e-02	-3.711306e-02
12	2.137975e-02	-3.546893e-02
13	2.190811e-02	-3.465062e-02
14	2.217569e-02	-3.424781e-02
15	2.231471e-02	-3.405644e-02
16	2.238992e-02	-3.397172e-02
17	2.243110e-02	-3.393620e-02
18	2.245304e-02	-3.392099e-02
19	2.246439e-02	-3.391412e-02
20	2.247015e-02	-3.391088e-02
21	2.247300e-02	-3.390933e-02
22	2.247436e-02	-3.390861e-02
23	2.247492e-02	-3.390831e-02
24	2.247493e-02	-3.390830e-02
25	2.247517e-02	-3.390818e-02
26	2.247519e-02	-3.390817e-02
27	2.247519e-02	-3.390817e-02
28	2.247519e-02	-3.390817e-02
29	2.247519e-02	-3.390817e-02
30	2.247519e-02	-3.390817e-02
