RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.330000e+00
2	1.149085e-01	2.158823e+00	1.149085e-01
3	4.793881e-01	3.011784e-01	4.793881e-01
4	6.737031e-02	9.816473e-01	6.737031e-02
5	1.247939e-01	1.268381e+00	1.247939e-01
6	2.863828e-03	1.099505e+00	2.863828e-03
7	6.303385e-02	8.350501e-01	6.303385e-02
8	1.024445e-02	9.561606e-01	1.024445e-02
9	8.780424e-04	1.025053e+00	8.780424e-04
10	1.767506e-03	1.003191e+00	1.767506e-03
11	6.687663e-05	1.014034e+00	6.687663e-05
12	9.358611e-04	9.858423e-01	9.358611e-04
13	1.374475e-04	9.997925e-01	1.374475e-04
14	1.117985e-05	1.006877e+00	1.117985e-05
15	1.343053e-04	9.987943e-01	1.343053e-04
16	5.025541e-05	1.002824e+00	5.025541e-05
17	2.510831e-05	1.004846e+00	2.510831e-05
18	1.676129e-05	1.005857e+00	1.676129e-05
19	1.365832e-05	1.006359e+00	1.365832e-05
20	1.240031e-05	1.006602e+00	1.240031e-05
21	1.188499e-05	1.006713e+00	1.188499e-05
22	1.169622e-05	1.006755e+00	1.169622e-05
23	1.163869e-05	1.006768e+00	1.163869e-05
24	1.162357e-05	1.006772e+00	1.162357e-05
25	1.161964e-05	1.006772e+00	1.161964e-05
26	1.161865e-05	1.006773e+00	1.161865e-05
27	1.161840e-05	1.006773e+00	1.161840e-05
28	1.161834e-05	1.006773e+00	1.161834e-05
29	1.161833e-05	1.006773e+00	1.161833e-05
30	1.161832e-05	1.006773e+00	1.161832e-05
