RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	8.694532e-01	-1.253561e-08	8.694532e-01
3	2.742248e-01	-1.138901e-08	2.742248e-01
4	1.675607e-01	-7.635778e-09	1.675607e-01
5	2.742248e-01	-7.795110e-09	2.742248e-01
6	1.568339e-01	-7.194625e-09	1.568339e-01
7	1.675607e-01	-6.737719e-09	1.675607e-01
8	1.458192e-01	-7.468487e-09	1.458192e-01
9	1.568339e-01	-7.418600e-09	1.568339e-01
10	1.472858e-01	-7.105130e-09	1.472858e-01
11	1.455361e-01	-2.571026e-09	1.455361e-01
12	1.458192e-01	-7.036425e-09	1.458192e-01
13	1.454228e-01	-7.096436e-09	1.454228e-01
14	1.458192e-01	-7.004660e-09	1.458192e-01
15	1.455572e-01	-7.033652e-09	1.455572e-01
16	1.454741e-01	-7.047993e-09	1.454741e-01
17	1.454445e-01	-7.055367e-09	1.454445e-01
18	1.454327e-01	-7.058965e-09	1.454327e-01
19	1.454276e-01	-7.060751e-09	1.454276e-01
20	1.454254e-01	-7.061602e-09	1.454254e-01
21	1.454244e-01	-2.561941e-09	1.454244e-01
22	1.454241e-01	-7.062103e-09	1.454241e-01
23	1.454240e-01	-7.062142e-09	1.454240e-01
24	1.454239e-01	-7.062152e-09	1.454239e-01
25	1.454239e-01	-7.062155e-09	1.454239e-01
