RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.793196e-01	-4.713875e-01
2	1.125773e+00	6.107559e-02
3	6.815441e-01	-1.743766e-01
4	4.724140e-01	-3.125965e-01
5	3.732744e-01	-3.889406e-01
6	2.793211e-01	-4.713893e-01
7	3.255675e-01	-4.293177e-01
8	3.492536e-01	-4.089298e-01
9	3.612239e-01	-3.988871e-01
10	3.672430e-01	-3.939071e-01
11	3.612262e-01	-3.988913e-01
12	3.642298e-01	-3.963948e-01
13	3.657346e-01	-3.951517e-01
14	3.664854e-01	-3.945312e-01
15	3.668576e-01	-3.942230e-01
16	3.661012e-01	-3.948485e-01
17	3.653447e-01	-3.954739e-01
18	3.657167e-01	-3.951655e-01
19	3.649626e-01	-3.957937e-01
20	3.642048e-01	-3.964175e-01
21	3.627014e-01	-3.976680e-01
22	3.611975e-01	-3.989177e-01
23	3.619444e-01	-3.982928e-01
24	3.604412e-01	-3.995429e-01
25	3.611903e-01	-3.989197e-01
26	3.615619e-01	-3.986099e-01
27	3.623166e-01	-3.979837e-01
28	3.608129e-01	-3.992335e-01
29	3.615620e-01	-3.986107e-01
30	3.619333e-01	-3.983012e-01
