RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.192854e-01	1.000000e+00	-4.500000e+00	-4.500000e+00	1.750000e+00	1.750000e+00	1.300000e+01	6.750000e+00	4.520000e+00	-4.480000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	-7.027606e-01	1.000000e+00	-1.257736e+00	-8.715089e-01	8.602902e-01	-7.444765e-01	-8.715089e-01	1.886782e+00	2.351732e+00	-2.406004e+00	-1.604767e+00	0.000000e+00	2.000000e+00
3	5.376054e-01	5.000000e-01	-1.479714e+00	-7.584393e-01	-2.020156e-01	1.109957e-04	-7.573294e-01						
4	-3.057197e+01	5.000000e-01	-3.862491e-01	-1.816893e-01	7.644775e-01	-1.258361e-01	-1.816893e-01	5.794394e-01	1.309591e+00	-1.326940e+00	-8.903137e-01	0.000000e+00	2.000000e+00
5	-3.128609e-01	2.500000e-01	-5.378146e-01	1.891104e-01	1.085868e+00	-2.159623e-01	1.891104e-01						
6	5.208326e-01	1.250000e-01	-3.411188e-01	7.405982e-02	1.093702e+00	1.208740e-04	7.526856e-02						
7	1.591364e-01	1.250000e-01	-2.926942e-01	1.219164e-01	8.887147e-01	1.097869e-04	1.230143e-01	4.482366e-01	8.104573e-01	-1.448520e+00	-8.886050e-01	0.000000e+00	2.000000e+00
8	-1.869393e-01	1.250000e-01	-2.960382e-01	1.134171e-01	7.280170e-01	1.097775e-04	1.145149e-01	4.448770e-01	1.273827e+00	-1.031369e+00	-7.279073e-01	0.000000e+00	2.000000e+00
9	2.089600e-01	6.250000e-02	-2.926953e-01	1.130771e-01	8.887148e-01	1.081839e-04	1.141590e-01						
10	-6.099179e-01	6.250000e-02	-2.893431e-01	1.343140e-01	8.067661e-01	1.107714e-04	1.354217e-01	4.351390e-01	1.040301e+00	-1.237403e+00	-8.066553e-01	0.000000e+00	2.000000e+00
11	4.170835e-02	3.125000e-02	-2.960392e-01	1.408740e-01	7.280170e-01	1.081909e-04	1.419559e-01						
12	-2.212411e-02	3.125000e-02	-2.914515e-01	1.441790e-01	7.670134e-01	1.104405e-04	1.452834e-01	4.371831e-01	1.156635e+00	-1.133784e+00	-7.669030e-01	0.000000e+00	2.000000e+00
13	2.463157e-01	1.562500e-02	-2.893428e-01	1.424835e-01	8.067661e-01	1.111980e-04	1.435955e-01						
14	-7.973118e-01	1.562500e-02	-2.900840e-01	1.443174e-01	7.867930e-01	1.128606e-04	1.454460e-01	4.354491e-01	1.098354e+00	-1.185437e+00	-7.866801e-01	0.000000e+00	2.000000e+00
15	-1.034938e+00	7.812500e-03	-2.893391e-01	1.447455e-01	8.067664e-01	1.164803e-04	1.459103e-01						
16	6.658548e-03	3.906250e-03	-2.896294e-01	1.451057e-01	7.967558e-01	1.205084e-04	1.463108e-01						
17	4.274932e-01	1.953125e-03	-2.898422e-01	1.452510e-01	7.917693e-01	1.093591e-04	1.463446e-01						
18	-8.191136e-01	1.953125e-03	-2.899611e-01	1.453127e-01	7.892819e-01	1.068087e-04	1.463808e-01	4.353384e-01	1.091082e+00	-1.191933e+00	-7.891751e-01	0.000000e+00	2.000000e+00
19	-7.656707e-01	9.765625e-04	-2.898433e-01	1.453352e-01	7.917740e-01	1.074725e-04	1.464099e-01						
20	-2.000000e+00	4.882812e-04	-2.899007e-01	1.453570e-01	7.905324e-01	1.071405e-04	1.464284e-01						
21	-2.000000e+00	2.441406e-04	-2.899293e-01	1.453668e-01	7.899167e-01	1.081378e-04	1.464482e-01						
22	-2.000000e+00	1.220703e-04	-2.899427e-01	1.453711e-01	7.896178e-01	1.096892e-04	1.464679e-01						
23	-2.000000e+00	6.103516e-05	-2.899485e-01	1.453728e-01	7.894828e-01	1.107586e-04	1.464804e-01						
24	9.074161e-01	3.051758e-05	-2.899508e-01	1.453735e-01	7.894310e-01	1.111661e-04	1.464852e-01						
25	1.648008e-02	6.103516e-05	-2.899567e-01	1.453763e-01	7.894150e-01	1.036963e-04	1.464133e-01	4.353360e-01	1.090697e+00	-1.192284e+00	-7.893113e-01	0.000000e+00	2.000000e+00
26	-4.743606e-01	6.103516e-05	-2.899495e-01	1.453770e-01	7.895640e-01	1.035822e-04	1.464129e-01	4.353299e-01	1.090262e+00	-1.192673e+00	-7.894604e-01	0.000000e+00	2.000000e+00
27	-2.000000e+00	3.051758e-05	-2.899423e-01	1.453781e-01	7.897131e-01	1.035802e-04	1.464139e-01						
28	-2.000000e+00	1.525879e-05	-2.899379e-01	1.453758e-01	7.896971e-01	1.110581e-04	1.464864e-01						
29	-2.000000e+00	7.629395e-06	-2.899381e-01	1.453759e-01	7.896927e-01	1.110761e-04	1.464866e-01						
30		3.814697e-06	-2.899382e-01	1.453759e-01	7.896916e-01	1.110865e-04	1.464867e-01						
