RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	1.602226e+00	1.109957e-04	1.603336e+00
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	3.179208e-01	-2.159623e-01	3.179208e-01
6	2.288747e-01	1.208740e-04	2.300834e-01
7	1.555425e-01	1.097869e-04	1.566403e-01
8	1.488389e-01	1.097775e-04	1.499366e-01
9	1.555431e-01	1.081839e-04	1.566249e-01
10	1.457959e-01	1.107714e-04	1.469036e-01
11	1.488394e-01	1.081909e-04	1.499213e-01
12	1.457316e-01	1.104405e-04	1.468360e-01
13	1.457957e-01	1.111980e-04	1.469077e-01
14	1.453650e-01	1.128606e-04	1.464936e-01
15	1.457939e-01	1.164803e-04	1.469587e-01
16	1.454778e-01	1.205084e-04	1.466829e-01
17	1.453990e-01	1.093591e-04	1.464926e-01
18	1.453773e-01	1.068087e-04	1.464454e-01
19	1.453998e-01	1.074725e-04	1.464745e-01
20	1.453870e-01	1.071405e-04	1.464584e-01
21	1.453814e-01	1.081378e-04	1.464628e-01
22	1.453786e-01	1.096892e-04	1.464755e-01
23	1.453773e-01	1.107586e-04	1.464849e-01
24	1.453768e-01	1.111661e-04	1.464885e-01
25	1.453793e-01	1.036963e-04	1.464162e-01
26	1.453804e-01	1.035822e-04	1.464162e-01
27	1.453815e-01	1.035802e-04	1.464173e-01
28	1.453788e-01	1.110581e-04	1.464893e-01
29	1.453787e-01	1.110761e-04	1.464895e-01
30	1.453787e-01	1.110865e-04	1.464896e-01
