RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	6.928249e-01	-4.368534e-10	6.928249e-01
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	5.540300e-01	-3.511161e-09	5.540300e-01
6	2.289487e-01	-4.820032e-09	2.289487e-01
7	1.556000e-01	-5.860129e-09	1.556000e-01
8	1.488655e-01	-6.807716e-09	1.488655e-01
9	1.556000e-01	-6.525455e-09	1.556000e-01
10	1.458380e-01	-6.859506e-09	1.458380e-01
11	1.488655e-01	-6.967286e-09	1.488655e-01
12	1.457660e-01	-6.828549e-09	1.457660e-01
13	1.458380e-01	-6.766627e-09	1.458380e-01
14	1.454040e-01	-6.842958e-09	1.454040e-01
15	1.458380e-01	-6.725889e-09	1.458380e-01
16	1.455213e-01	-6.762466e-09	1.455213e-01
17	1.454378e-01	-6.780734e-09	1.454378e-01
18	1.454147e-01	-6.789854e-09	1.454147e-01
19	1.454078e-01	-6.592756e-09	1.454078e-01
20	1.454055e-01	-2.465693e-09	1.454055e-01
21	1.454047e-01	-6.797753e-09	1.454047e-01
22	1.454057e-01	-6.795804e-09	1.454057e-01
23	1.454068e-01	-6.793858e-09	1.454068e-01
24	1.454063e-01	-6.794101e-09	1.454063e-01
25	1.454071e-01	-6.792886e-09	1.454071e-01
26	1.454079e-01	-6.791666e-09	1.454079e-01
27	1.454088e-01	-6.790435e-09	1.454088e-01
28	1.454098e-01	-6.789192e-09	1.454098e-01
29	1.454109e-01	-6.787934e-09	1.454109e-01
30	1.454106e-01	-6.788741e-09	1.454106e-01
