RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.103004e+00	-5.348642e-09	1.103004e+00
3	6.870421e-01	-1.849353e-03	6.870421e-01
4	3.855859e-01	-2.712101e-08	3.855859e-01
5	2.033456e-01	-1.298553e-08	2.033456e-01
6	1.455664e-01	-8.109652e-09	1.455664e-01
7	2.033456e-01	-7.900663e-09	2.033456e-01
8	1.585070e-01	-7.464632e-09	1.585070e-01
9	1.480020e-01	-7.212004e-09	1.480020e-01
10	1.457694e-01	-6.542376e-09	1.457694e-01
11	1.454134e-01	-7.108072e-09	1.454134e-01
12	1.455664e-01	-7.047649e-09	1.455664e-01
13	1.454262e-01	-7.077096e-09	1.454262e-01
14	1.454039e-01	-7.091786e-09	1.454039e-01
15	1.454262e-01	-7.068681e-09	1.454262e-01
16	1.454111e-01	-2.567034e-09	1.454111e-01
17	1.454065e-01	-7.079646e-09	1.454065e-01
18	1.454049e-01	-7.081431e-09	1.454049e-01
19	1.454044e-01	-7.082298e-09	1.454044e-01
20	1.454051e-01	-7.080686e-09	1.454051e-01
21	1.454059e-01	-7.079077e-09	1.454059e-01
22	1.454069e-01	-7.077469e-09	1.454069e-01
23	1.454081e-01	-7.075864e-09	1.454081e-01
24	1.454076e-01	-7.076234e-09	1.454076e-01
25	1.454084e-01	-7.075213e-09	1.454084e-01
