RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.026710e+00	3.196621e-02
2	8.571570e-01	-7.410808e-02
3	6.834451e-01	-1.732252e-01
4	5.155498e-01	-2.819044e-01
5	3.563463e-01	-4.029591e-01
6	5.155498e-01	-2.819044e-01
7	4.345835e-01	-3.406780e-01
8	3.950885e-01	-3.713514e-01
9	3.756173e-01	-3.870332e-01
10	3.563465e-01	-4.029594e-01
11	3.659552e-01	-3.949644e-01
12	3.563439e-01	-4.029569e-01
13	3.611403e-01	-3.989503e-01
14	3.635491e-01	-3.969608e-01
15	3.611440e-01	-3.989582e-01
16	3.623446e-01	-3.979606e-01
17	3.629431e-01	-3.974634e-01
18	3.632384e-01	-3.972173e-01
19	3.633793e-01	-3.970992e-01
20	3.634433e-01	-3.970515e-01
21	3.633331e-01	-3.971370e-01
22	3.633549e-01	-3.971186e-01
23	3.633613e-01	-3.971133e-01
24	3.633630e-01	-3.971118e-01
25	3.633634e-01	-3.971115e-01
26	3.633665e-01	-3.971152e-01
27	3.633665e-01	-3.971151e-01
28	3.633665e-01	-3.971151e-01
29	3.633665e-01	-3.971151e-01
30	3.633665e-01	-3.971151e-01
