RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.718323e-01	1.000000e-01	-1.220000e+00	-1.220000e+00	-9.000000e-02	-9.000000e-02	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	8.844940e-01	2.000000e-01	-1.055155e+00	1.060163e+00	-2.568824e-02	3.824417e-02	1.442605e+00	2.143131e+00	4.158807e+00	1.174575e+00	6.393241e-02	0.000000e+00	2.000000e+00
3	7.437761e-01	2.000000e-01	-7.402101e-01	5.731900e-01	1.483350e-01	1.188742e-04	5.743788e-01	1.416898e+00	3.374520e+00	5.807247e-01	-1.482162e-01	0.000000e+00	2.000000e+00
4	6.327302e-01	2.000000e-01	-4.971042e-01	2.760399e-01	3.465619e-01	1.115323e-04	2.771552e-01	8.758184e-01	2.580555e+00	1.054446e-02	-3.464503e-01	0.000000e+00	2.000000e+00
5	3.405494e-01	2.000000e-01	-3.452617e-01	9.614768e-02	5.639203e-01	1.115180e-04	9.726286e-02	5.451876e-01	1.800295e+00	-5.920678e-01	-5.638088e-01	0.000000e+00	2.000000e+00
6	-1.370894e+00	2.000000e-01	-2.893587e-01	4.088822e-02	8.060298e-01	1.115164e-04	4.200339e-02	4.351245e-01	1.042426e+00	-1.235490e+00	-8.059183e-01	0.000000e+00	2.000000e+00
7	-1.033060e+00	1.000000e-01	-3.452617e-01	1.062587e-01	5.639203e-01	1.115063e-04	1.073738e-01						
8	-4.545030e-01	5.000000e-02	-3.049243e-01	1.348089e-01	6.814780e-01	1.220184e-04	1.360291e-01						
9	2.370592e-01	2.500000e-02	-2.939967e-01	1.424625e-01	7.428134e-01	1.106207e-04	1.435687e-01						
10	-1.295612e-01	2.500000e-02	-2.908831e-01	1.446537e-01	7.741774e-01	1.109155e-04	1.457629e-01	4.363898e-01	1.135436e+00	-1.152516e+00	-7.740665e-01	0.000000e+00	2.000000e+00
11	1.257125e-01	1.250000e-02	-2.893591e-01	1.435051e-01	8.060298e-01	1.109241e-04	1.446143e-01						
12	-1.303927e+00	1.250000e-02	-2.899201e-01	1.446398e-01	7.900416e-01	1.128504e-04	1.457683e-01	4.353009e-01	1.088857e+00	-1.193902e+00	-7.899288e-01	0.000000e+00	2.000000e+00
13	-2.850902e+00	6.250000e-03	-2.893553e-01	1.450226e-01	8.060304e-01	1.164901e-04	1.461875e-01						
14	5.310283e-02	3.125000e-03	-2.895836e-01	1.452333e-01	7.980211e-01	1.205087e-04	1.464383e-01						
15	-2.594342e+00	3.125000e-03	-2.897458e-01	1.453187e-01	7.940287e-01	1.071943e-04	1.463906e-01	4.351769e-01	1.077236e+00	-1.204294e+00	-7.939215e-01	0.000000e+00	2.000000e+00
16	-1.983318e+00	1.562500e-03	-2.895926e-01	1.453989e-01	7.980237e-01	1.072892e-04	1.464717e-01						
17	-3.604002e+00	7.812500e-04	-2.896662e-01	1.454172e-01	7.960281e-01	1.069036e-04	1.464862e-01						
18	2.093595e+00	3.906250e-04	-2.897048e-01	1.454245e-01	7.950341e-01	1.073364e-04	1.464979e-01						
19	-3.247569e-01	7.812500e-04	-2.897237e-01	1.454274e-01	7.945432e-01	1.086389e-04	1.465138e-01	4.351628e-01	1.075736e+00	-1.205631e+00	-7.944345e-01	0.000000e+00	2.000000e+00
20	-3.962717e+00	3.906250e-04	-2.896844e-01	1.454341e-01	7.955489e-01	1.073526e-04	1.465076e-01						
21	1.447443e+00	1.953125e-04	-2.897029e-01	1.454364e-01	7.950576e-01	1.086708e-04	1.465231e-01						
22	3.210906e-01	3.906250e-04	-2.897113e-01	1.454372e-01	7.948229e-01	1.102409e-04	1.465396e-01	4.351547e-01	1.074920e+00	-1.206356e+00	-7.947127e-01	0.000000e+00	2.000000e+00
23	-4.785227e+00	3.906250e-04	-2.896918e-01	1.454416e-01	7.953374e-01	1.086954e-04	1.465285e-01	4.351452e-01	1.073425e+00	-1.207698e+00	-7.952287e-01	0.000000e+00	2.000000e+00
24	1.455714e+00	1.953125e-04	-2.896717e-01	1.454515e-01	7.958522e-01	1.086774e-04	1.465383e-01						
25	2.800511e-01	3.906250e-04	-2.896798e-01	1.454518e-01	7.956170e-01	1.102239e-04	1.465541e-01	4.351379e-01	1.072610e+00	-1.208423e+00	-7.955068e-01	0.000000e+00	2.000000e+00
26	-8.047270e+00	3.906250e-04	-2.896610e-01	1.454571e-01	7.961314e-01	1.086966e-04	1.465440e-01	4.351298e-01	1.071115e+00	-1.209764e+00	-7.960227e-01	0.000000e+00	2.000000e+00
27	1.440401e+00	1.953125e-04	-2.896416e-01	1.454678e-01	7.966456e-01	1.086699e-04	1.465545e-01						
28	2.304106e-01	3.906250e-04	-2.896494e-01	1.454678e-01	7.964106e-01	1.102258e-04	1.465700e-01	4.351234e-01	1.070302e+00	-1.210488e+00	-7.963004e-01	0.000000e+00	2.000000e+00
29	-2.103553e+01	3.906250e-04	-2.896312e-01	1.454738e-01	7.969246e-01	1.087250e-04	1.465610e-01	4.351168e-01	1.068809e+00	-1.211827e+00	-7.968158e-01	0.000000e+00	2.000000e+00
30		1.953125e-04	-2.896126e-01	1.454853e-01	7.974365e-01	1.086931e-04	1.465722e-01						
