RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.796295e-01	1.000000e-01	-1.220000e+00	-1.220000e+00	-9.000000e-02	-9.000000e-02	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	8.034724e-01	2.000000e-01	-1.082324e+00	1.075411e+00	-3.976298e-02	-4.211013e-09	1.075411e+00	2.185329e+00	4.200515e+00	1.139684e+00	3.976298e-02	-1.332268e-15	2.000000e+00
3	7.461723e-01	2.000000e-01	-7.493402e-01	5.852987e-01	1.425890e-01	-1.849154e-03	5.852987e-01	1.436382e+00	3.398287e+00	5.937503e-01	-1.444382e-01	0.000000e+00	2.000000e+00
4	6.372329e-01	2.000000e-01	-5.028344e-01	2.830386e-01	3.406671e-01	-2.683558e-08	2.830386e-01	8.884202e-01	2.603052e+00	2.701229e-02	-3.406671e-01	0.000000e+00	2.000000e+00
5	3.552843e-01	2.000000e-01	-3.483473e-01	9.959897e-02	5.574236e-01	-1.185314e-08	9.959897e-02	5.516929e-01	1.822315e+00	-5.745904e-01	-5.574236e-01	0.000000e+00	2.000000e+00
6	-1.611102e+00	2.000000e-01	-2.896414e-01	4.071749e-02	7.987440e-01	-7.543920e-09	4.071749e-02	4.352078e-01	1.063644e+00	-1.216734e+00	-7.987440e-01	0.000000e+00	2.000000e+00
7	-1.419499e+00	1.000000e-01	-3.483473e-01	1.097032e-01	5.574236e-01	-7.624970e-09	1.097032e-01						
8	-1.022954e+00	5.000000e-02	-3.066395e-01	1.364501e-01	6.746133e-01	-7.183441e-09	1.364501e-01						
9	-3.122965e-01	2.500000e-02	-2.949984e-01	1.431854e-01	7.357459e-01	-6.959024e-09	1.431854e-01						
10	8.041487e-01	1.250000e-02	-2.915269e-01	1.449165e-01	7.670027e-01	-6.845926e-09	1.449165e-01						
11	-2.601388e-01	1.250000e-02	-2.903850e-01	1.453761e-01	7.828114e-01	-6.789160e-09	1.453761e-01	4.357984e-01	1.110142e+00	-1.175236e+00	-7.828114e-01	0.000000e+00	2.000000e+00
12	-4.909831e-02	6.250000e-03	-2.896414e-01	1.448252e-01	7.987441e-01	-6.763774e-09	1.448252e-01						
13	7.813906e-02	3.125000e-03	-2.899632e-01	1.451529e-01	7.907629e-01	-6.793265e-09	1.451529e-01						
14	-2.481571e-01	3.125000e-03	-2.901616e-01	1.452915e-01	7.867847e-01	-6.807997e-09	1.452915e-01	4.355654e-01	1.098499e+00	-1.185597e+00	-7.867847e-01	0.000000e+00	2.000000e+00
15	-1.675931e-01	1.562500e-03	-2.899631e-01	1.453138e-01	7.907658e-01	-6.784887e-09	1.453138e-01						
16	-1.244239e-01	7.812500e-04	-2.900591e-01	1.453609e-01	7.887773e-01	-6.792184e-09	1.453609e-01						
17	-1.022916e-01	3.906250e-04	-2.901092e-01	1.453828e-01	7.877868e-01	-6.795820e-09	1.453828e-01						
18	1.000000e+00	1.953125e-04	-2.901346e-01	1.453932e-01	7.872976e-01	-6.797313e-09	1.453932e-01						
19	1.000000e+00	1.953125e-04	-2.901468e-01	1.453981e-01	7.870638e-01	-6.798352e-09	1.453981e-01	4.355512e-01	1.097682e+00	-1.186324e+00	-7.870638e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	1.953125e-04	-2.901322e-01	1.453988e-01	7.873428e-01	-6.796718e-09	1.453988e-01	4.355373e-01	1.096866e+00	-1.187051e+00	-7.873428e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	1.953125e-04	-2.901177e-01	1.453996e-01	7.876219e-01	-6.795069e-09	1.453996e-01	4.355236e-01	1.096050e+00	-1.187779e+00	-7.876219e-01	0.000000e+00	2.000000e+00
22	-2.247368e-01	1.953125e-04	-2.901033e-01	1.454006e-01	7.879011e-01	-6.793413e-09	1.454006e-01	4.355103e-01	1.095233e+00	-1.188506e+00	-7.879011e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	9.765625e-05	-2.900891e-01	1.454018e-01	7.881802e-01	-6.791747e-09	1.454018e-01						
24	1.000000e+00	9.765625e-05	-2.900943e-01	1.454036e-01	7.880788e-01	-6.791960e-09	1.454036e-01	4.355019e-01	1.094714e+00	-1.188969e+00	-7.880788e-01	0.000000e+00	2.000000e+00
25	1.000000e+00	9.765625e-05	-2.900852e-01	1.454044e-01	7.882566e-01	-6.790878e-09	1.454044e-01	4.354936e-01	1.094194e+00	-1.189433e+00	-7.882566e-01	0.000000e+00	2.000000e+00
26	1.000000e+00	9.765625e-05	-2.900762e-01	1.454053e-01	7.884344e-01	-6.789788e-09	1.454053e-01	4.354855e-01	1.093674e+00	-1.189896e+00	-7.884344e-01	0.000000e+00	2.000000e+00
27	1.000000e+00	9.765625e-05	-2.900673e-01	1.454062e-01	7.886122e-01	-6.788689e-09	1.454062e-01	4.354775e-01	1.093154e+00	-1.190359e+00	-7.886123e-01	0.000000e+00	2.000000e+00
28	-3.515502e-01	9.765625e-05	-2.900584e-01	1.454071e-01	7.887901e-01	-6.787578e-09	1.454071e-01	4.354695e-01	1.092634e+00	-1.190823e+00	-7.887901e-01	0.000000e+00	2.000000e+00
29	1.000000e+00	4.882813e-05	-2.900496e-01	1.454082e-01	7.889679e-01	-6.786454e-09	1.454082e-01						
30		4.882813e-05	-2.900514e-01	1.454088e-01	7.889316e-01	-6.786603e-09	1.454088e-01	4.354633e-01	1.092221e+00	-1.191192e+00	-7.889317e-01	0.000000e+00	2.000000e+00
