RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.428353e+00	-1.430238e+00
2	1.285243e+00	-1.290526e+00
3	1.142502e+00	-1.150437e+00
4	1.000085e+00	-1.010018e+00
5	8.579477e-01	-8.693160e-01
6	7.160445e-01	-7.283781e-01
7	5.743298e-01	-5.872507e-01
8	4.327579e-01	-4.459800e-01
9	2.424798e-01	-5.075776e-01
10	3.361290e-01	-4.202337e-01
11	4.135404e-01	-3.569289e-01
12	3.744302e-01	-3.880930e-01
13	3.361290e-01	-4.202337e-01
14	3.551732e-01	-4.040359e-01
15	3.647757e-01	-3.960333e-01
16	3.551729e-01	-4.040361e-01
17	3.599674e-01	-4.000272e-01
18	3.623691e-01	-3.980290e-01
19	3.635701e-01	-3.970322e-01
20	3.641693e-01	-3.965356e-01
21	3.644653e-01	-3.962904e-01
22	3.646069e-01	-3.961732e-01
23	3.646682e-01	-3.961224e-01
24	3.646894e-01	-3.961048e-01
25	3.646960e-01	-3.960994e-01
26	3.646978e-01	-3.960979e-01
27	3.646983e-01	-3.960975e-01
28	3.646983e-01	-3.960975e-01
29	3.646983e-01	-3.960974e-01
30	3.646983e-01	-3.960974e-01
