RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.323005e-01	1.000000e-01	-4.500000e+00	-4.500000e+00	1.750000e+00	1.750000e+00	1.300000e+01	6.750000e+00	4.520000e+00	-4.480000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	8.647886e-01	2.000000e-01	-4.085773e+00	2.027849e+00	1.617229e+00	-1.243248e+00	2.027849e+00	6.128662e+00	4.303173e+00	-4.272600e+00	-2.860477e+00	0.000000e+00	2.000000e+00
3	8.514498e-01	2.000000e-01	-3.317306e+00	1.598593e+00	1.380215e+00	-1.200837e+00	1.598593e+00	4.975974e+00	3.870445e+00	-3.856862e+00	-2.581052e+00	0.000000e+00	2.000000e+00
4	8.351757e-01	2.000000e-01	-2.628815e+00	1.254382e+00	1.181003e+00	-1.119870e+00	1.254382e+00	3.943254e+00	3.439570e+00	-3.439245e+00	-2.300874e+00	0.000000e+00	2.000000e+00
5	8.148802e-01	2.000000e-01	-2.020306e+00	9.501604e-01	1.020051e+00	-9.999847e-01	9.501604e-01	3.030508e+00	3.010322e+00	-3.019986e+00	-2.020036e+00	0.000000e+00	2.000000e+00
6	7.888660e-01	2.000000e-01	-1.491785e+00	6.859271e-01	8.977625e-01	-8.408694e-01	6.859271e-01	2.237741e+00	2.582475e+00	-2.599316e+00	-1.738632e+00	0.000000e+00	2.000000e+00
7	7.543240e-01	2.000000e-01	-1.043254e+00	4.616835e-01	8.144901e-01	-6.422660e-01	4.616835e-01	1.564958e+00	2.155800e+00	-2.177468e+00	-1.456756e+00	0.000000e+00	2.000000e+00
8	7.062448e-01	2.000000e-01	-6.747181e-01	2.774306e-01	7.705336e-01	-4.039678e-01	2.774306e-01	1.012161e+00	1.730068e+00	-1.754673e+00	-1.174501e+00	0.000000e+00	2.000000e+00
9	-1.843071e-03	2.000000e-01	-3.861775e-01	1.331701e-01	7.661403e-01	-1.258197e-01	1.331701e-01	5.793537e-01	1.305051e+00	-1.331162e+00	-8.919601e-01	0.000000e+00	2.000000e+00
10	7.031998e-01	1.000000e-01	-3.164315e-01	9.659599e-02	1.015155e+00	-5.114723e-09	9.659599e-02						
11	-1.266671e-01	1.000000e-01	-2.895790e-01	1.293965e-01	8.404673e-01	-6.428409e-09	1.293965e-01	4.379054e-01	9.442824e-01	-1.324806e+00	-8.404673e-01	0.000000e+00	2.000000e+00
12	3.694910e-01	5.000000e-02	-2.984139e-01	1.287232e-01	7.138579e-01	-6.940739e-09	1.287232e-01						
13	-5.870226e-01	5.000000e-02	-2.908141e-01	1.406782e-01	7.761859e-01	-6.735361e-09	1.406782e-01	4.363146e-01	1.129628e+00	-1.157942e+00	-7.761859e-01	0.000000e+00	2.000000e+00
14	-2.083657e-01	2.500000e-02	-2.895790e-01	1.406864e-01	8.404673e-01	-6.622575e-09	1.406864e-01						
15	7.491921e-02	1.250000e-02	-2.893930e-01	1.436293e-01	8.080718e-01	-6.742806e-09	1.436293e-01						
16	-1.543180e+00	1.250000e-02	-2.899037e-01	1.446993e-01	7.920667e-01	-6.802705e-09	1.446993e-01	4.353441e-01	1.083070e+00	-1.199358e+00	-7.920667e-01	0.000000e+00	2.000000e+00
17	-1.435498e+00	6.250000e-03	-2.893930e-01	1.451488e-01	8.080723e-01	-6.711462e-09	1.451488e-01						
18	-1.353802e+00	3.125000e-03	-2.895983e-01	1.453281e-01	8.000544e-01	-6.740400e-09	1.453281e-01						
19	-1.301320e+00	1.562500e-03	-2.897384e-01	1.453926e-01	7.960580e-01	-6.754481e-09	1.453926e-01						
20	-1.271227e+00	7.812500e-04	-2.898178e-01	1.454186e-01	7.940645e-01	-6.628462e-09	1.454186e-01						
21	-1.255216e+00	3.906250e-04	-2.898598e-01	1.454299e-01	7.930712e-01	-6.764179e-09	1.454299e-01						
22	-1.247268e+00	1.953125e-04	-2.898810e-01	1.454352e-01	7.925808e-01	-6.755914e-09	1.454352e-01						
23	-1.243752e+00	9.765625e-05	-2.898913e-01	1.454376e-01	7.923463e-01	-6.765245e-09	1.454376e-01						
24	-1.242487e+00	4.882813e-05	-2.898958e-01	1.454386e-01	7.922448e-01	-6.748762e-09	1.454386e-01						
25	-1.242116e+00	2.441406e-05	-2.898974e-01	1.454390e-01	7.922096e-01	-6.683159e-09	1.454390e-01						
26	-1.242019e+00	1.220703e-05	-2.898979e-01	1.454391e-01	7.921987e-01	-6.702037e-09	1.454391e-01						
27	-1.241994e+00	6.103516e-06	-2.898980e-01	1.454391e-01	7.921957e-01	-6.717584e-09	1.454391e-01						
28	-1.241987e+00	3.051758e-06	-2.898980e-01	1.454391e-01	7.921949e-01	-6.721758e-09	1.454391e-01						
29	-1.241985e+00	1.525879e-06	-2.898980e-01	1.454391e-01	7.921949e-01	-6.711259e-09	1.454391e-01						
30		7.629395e-07	-2.898980e-01	1.454391e-01	7.921949e-01	-6.712308e-09	1.454391e-01						
