RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	2.280143e-01	-3.895313e-01
2	1.218047e+00	-2.486930e-01
3	7.067454e-01	-2.452521e-01
4	4.671208e-01	-3.165376e-01
5	3.518063e-01	-4.068674e-01
6	2.818976e-01	-4.211990e-01
7	3.961846e-01	-3.705680e-01
8	3.439275e-01	-4.135467e-01
9	3.081224e-01	-4.381941e-01
10	3.585221e-01	-4.012329e-01
11	4.071238e-01	-3.619375e-01
12	3.826696e-01	-3.813970e-01
13	3.705563e-01	-3.912667e-01
14	3.585221e-01	-4.012329e-01
15	3.645287e-01	-3.962378e-01
16	3.675393e-01	-3.937498e-01
17	3.645274e-01	-3.962389e-01
18	3.660313e-01	-3.949948e-01
19	3.667823e-01	-3.943745e-01
20	3.671550e-01	-3.940668e-01
21	3.673360e-01	-3.939175e-01
22	3.674177e-01	-3.938501e-01
23	3.672962e-01	-3.939503e-01
24	3.671747e-01	-3.940506e-01
25	3.670531e-01	-3.941509e-01
