RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.084186e-01	-2.294846e-01
2	8.833450e-01	-1.014022e-01
3	3.660603e-01	-3.871862e-01
4	2.900320e-01	-4.614538e-01
5	2.900320e-01	-4.614538e-01
6	2.900323e-01	-4.614536e-01
7	3.225563e-01	-4.320596e-01
8	3.463793e-01	-4.114600e-01
9	3.703626e-01	-3.914257e-01
10	3.463794e-01	-4.114599e-01
11	3.583297e-01	-4.013935e-01
12	3.643358e-01	-3.963977e-01
13	3.673460e-01	-3.939092e-01
14	3.643345e-01	-3.963988e-01
15	3.658382e-01	-3.951544e-01
16	3.665891e-01	-3.945340e-01
17	3.669618e-01	-3.942263e-01
18	3.671427e-01	-3.940770e-01
19	3.672245e-01	-3.940095e-01
20	3.671029e-01	-3.941098e-01
21	3.669814e-01	-3.942101e-01
22	3.668599e-01	-3.943104e-01
23	3.668913e-01	-3.942845e-01
24	3.668012e-01	-3.943589e-01
25	3.667109e-01	-3.944334e-01
