RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.341000e+00
2	1.723328e-02	6.213323e-01	7.936651e-02
3	9.045738e-01	1.608255e+00	1.065399e+00
4	2.113952e-01	1.108353e+00	3.222305e-01
5	5.229646e-02	8.585448e-01	1.381509e-01
6	1.960371e-02	7.339137e-01	9.299508e-02
7	1.494157e-02	6.720999e-01	8.215156e-02
8	1.547917e-02	6.420503e-01	7.968420e-02
9	1.638514e-02	6.283045e-01	7.921558e-02
10	1.555309e-02	6.412457e-01	7.967767e-02
11	1.601757e-02	6.336141e-01	7.937898e-02
12	1.627367e-02	6.300256e-01	7.927623e-02
13	1.638189e-02	6.285607e-01	7.923796e-02
14	1.640824e-02	6.281551e-01	7.922376e-02
15	1.640499e-02	6.281377e-01	7.921875e-02
16	1.639788e-02	6.281910e-01	7.921699e-02
17	1.639337e-02	6.282298e-01	7.921635e-02
18	1.639142e-02	6.282471e-01	7.921613e-02
19	1.639079e-02	6.282527e-01	7.921606e-02
20	1.639062e-02	6.282543e-01	7.921605e-02
21	1.639058e-02	6.282547e-01	7.921604e-02
22	1.639056e-02	6.282548e-01	7.921604e-02
23	1.639056e-02	6.282548e-01	7.921604e-02
24	1.639056e-02	6.282548e-01	7.921604e-02
25	1.639056e-02	6.282548e-01	7.921604e-02
26	1.639056e-02	6.282548e-01	7.921604e-02
27	1.639056e-02	6.282548e-01	7.921604e-02
28	1.639056e-02	6.282548e-01	7.921604e-02
29	1.639056e-02	6.282548e-01	7.921604e-02
30	1.639056e-02	6.282548e-01	7.921604e-02
