RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3.879474e-01	1.000000e+00	-1.200000e+00	-1.200000e+00	-9.000000e-02	-9.000000e-02	-1.200000e+00	2.530000e+00	4.520000e+00	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	-1.201794e+00	1.000000e+00	1.441877e-01	-1.663810e+00	9.428870e-01	1.085349e-04	-1.663810e+00	2.437140e-02	6.658940e-01	2.793208e-01	-9.427785e-01	1.110223e-14	2.000000e+00
3	-1.007177e+00	5.000000e-01	-1.508878e+00	-7.807380e-01	-1.741459e-01	-7.759162e-01	-7.807380e-01						
4	-4.815622e-02	2.500000e-01	-4.712320e-01	-8.606335e-02	3.399460e-01	-2.509439e-01	-8.606335e-02						
5	4.958284e-01	1.250000e-01	-1.254581e-01	7.184677e-02	6.253029e-01	1.098912e-04	7.184677e-02						
6	-5.575107e+00	1.250000e-01	1.194117e-02	1.219051e-01	7.780007e-01	1.200165e-04	1.219051e-01	1.334855e-01	1.124155e+00	3.732739e-01	-7.778807e-01	0.000000e+00	2.000000e+00
7	-2.201560e+00	6.250000e-02	1.441869e-01	1.412777e-01	9.428867e-01	1.115227e-04	1.412777e-01						
8	-8.230253e-01	3.125000e-02	7.832019e-02	1.431054e-01	8.587464e-01	1.072735e-04	1.431054e-01						
9	-1.363771e-01	1.562500e-02	4.524571e-02	1.442668e-01	8.179703e-01	1.107270e-04	1.442668e-01						
10	2.150504e-01	7.812500e-03	2.862813e-02	1.448535e-01	7.978874e-01	1.162610e-04	1.448535e-01						
11	-1.673255e+00	7.812500e-03	2.029427e-02	1.451419e-01	7.879203e-01	1.205320e-04	1.451419e-01	1.250712e-01	1.095047e+00	3.672368e-01	-7.877998e-01	0.000000e+00	2.000000e+00
12	-1.059410e+00	3.906250e-03	2.862885e-02	1.452822e-01	7.978883e-01	1.164885e-04	1.452822e-01						
13	-1.222490e+00	1.953125e-03	2.446454e-02	1.453238e-01	7.928993e-01	1.203059e-04	1.453238e-01						
14	-2.009674e+00	9.765625e-04	2.238299e-02	1.453491e-01	7.904104e-01	1.083276e-04	1.453491e-01						
15	-7.398624e+00	4.882812e-04	2.134338e-02	1.453599e-01	7.891695e-01	1.068582e-04	1.453599e-01						
16	-2.000000e+00	2.441406e-04	2.082734e-02	1.453649e-01	7.885542e-01	1.073338e-04	1.453649e-01						
17	-2.000000e+00	1.220703e-04	2.057669e-02	1.453668e-01	7.882555e-01	1.087721e-04	1.453668e-01						
18	-2.000000e+00	6.103516e-05	2.046328e-02	1.453673e-01	7.881205e-01	1.106507e-04	1.453673e-01						
19	-2.000000e+00	3.051758e-05	2.041977e-02	1.453673e-01	7.880688e-01	1.117755e-04	1.453673e-01						
20	-2.000000e+00	1.525879e-05	2.040627e-02	1.453673e-01	7.880528e-01	1.121272e-04	1.453673e-01						
21	-2.000000e+00	7.629395e-06	2.040293e-02	1.453702e-01	7.880478e-01	1.040644e-04	1.453702e-01						
22	-2.000000e+00	3.814697e-06	2.040171e-02	1.453673e-01	7.880474e-01	1.122588e-04	1.453673e-01						
23	-2.000000e+00	1.907349e-06	2.040147e-02	1.453673e-01	7.880471e-01	1.122857e-04	1.453673e-01						
24	-2.000000e+00	9.536743e-07	2.040141e-02	1.453673e-01	7.880470e-01	1.123173e-04	1.453673e-01						
25	-2.000000e+00	4.768372e-07	2.040140e-02	1.453673e-01	7.880470e-01	1.123197e-04	1.453673e-01						
26	-2.000000e+00	2.384186e-07	2.040139e-02	1.453673e-01	7.880470e-01	1.123203e-04	1.453673e-01						
27	-2.000000e+00	1.192093e-07	2.040139e-02	1.453673e-01	7.880470e-01	1.123205e-04	1.453673e-01						
28	-2.000000e+00	5.960464e-08	2.040139e-02	1.453673e-01	7.880470e-01	1.123205e-04	1.453673e-01						
29	-2.000000e+00	2.980232e-08	2.040139e-02	1.453673e-01	7.880470e-01	1.123206e-04	1.453673e-01						
30		1.490116e-08	2.040139e-02	1.453673e-01	7.880470e-01	1.123206e-04	1.453673e-01						
