RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	1.142887e+00	-4.834302e-01	1.142887e+00
3	1.521852e+00	-1.369043e+00	1.521852e+00
4	6.438068e-01	-7.613968e-01	6.438068e-01
5	3.297900e-01	-2.063887e-01	3.297900e-01
6	4.258249e-01	-4.065386e-01	4.258249e-01
7	1.529399e-01	-1.901777e-02	1.529399e-01
8	5.494266e-01	-3.122817e-01	5.494266e-01
9	2.292256e-01	1.098841e-04	2.297750e-01
10	1.625989e-01	1.087632e-04	1.631427e-01
11	1.479570e-01	1.123882e-04	1.485189e-01
12	1.461965e-01	1.081882e-04	1.467374e-01
13	1.479583e-01	1.081876e-04	1.484993e-01
14	1.454884e-01	1.106684e-04	1.460417e-01
15	1.461965e-01	1.081900e-04	1.467374e-01
16	1.454415e-01	1.162608e-04	1.460228e-01
17	1.454883e-01	1.109254e-04	1.460429e-01
18	1.453630e-01	1.205306e-04	1.459657e-01
19	1.457196e-01	1.109274e-04	1.462742e-01
20	1.454400e-01	1.205319e-04	1.460427e-01
21	1.453767e-01	1.203059e-04	1.459782e-01
22	1.453676e-01	1.089747e-04	1.459125e-01
23	1.453810e-01	1.080860e-04	1.459214e-01
24	1.453733e-01	1.068473e-04	1.459076e-01
25	1.453830e-01	1.024236e-04	1.458951e-01
26	1.453925e-01	1.075811e-04	1.459304e-01
27	1.454244e-01	1.072863e-04	1.459609e-01
28	1.454072e-01	1.067246e-04	1.459408e-01
29	1.453995e-01	1.072810e-04	1.459359e-01
30	1.453957e-01	1.085477e-04	1.459384e-01
