RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.066154e-01	1.000000e+00	0.000000e+00	0.000000e+00	1.750000e+00	1.750000e+00	8.750000e-01	2.250000e+00	4.520000e+00	1.500000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	-2.391685e-01	1.000000e+00	1.227398e+00	-4.727511e-01	1.978755e+00	-4.834302e-01	-4.727511e-01	-8.451093e-02	9.362432e-01	5.368340e-01	-2.462185e+00	0.000000e+00	2.000000e+00
3	6.715095e-01	5.000000e-01	-1.435528e+00	-4.416201e-01	1.663961e-01	-1.369043e+00	-4.416201e-01						
4	4.393719e-01	5.000000e-01	1.002237e-02	3.996655e-01	8.495638e-01	-7.613968e-01	3.996655e-01	6.337844e-01	2.411459e+00	7.992347e-01	-1.610961e+00	0.000000e+00	2.000000e+00
5	-2.541845e-01	5.000000e-01	3.371617e-01	-7.088786e-02	1.119572e+00	-2.063887e-01	-7.088786e-02	-7.371708e-03	6.369031e-01	3.199709e-01	-1.325961e+00	0.000000e+00	2.000000e+00
6	9.353226e-01	2.500000e-01	-3.963821e-01	-4.802552e-02	4.173095e-01	-4.065386e-01	-4.802552e-02						
7	-2.017214e+00	5.000000e-01	4.370908e-02	1.407110e-01	8.133482e-01	-1.901841e-02	1.407110e-01	1.092311e-01	1.043258e+00	3.598603e-01	-8.323666e-01	0.000000e+00	2.000000e+00
8	-3.604376e+00	2.500000e-01	1.742431e-01	-2.461763e-01	1.333287e+00	4.530108e-01	-1.967091e-02						
9	-6.373748e+00	1.250000e-01	1.831093e-01	2.359773e-02	1.084267e+00	2.000111e-01	1.236033e-01						
10	5.364242e-01	6.250000e-02	1.432965e-01	1.149994e-01	9.614820e-01	6.625369e-02	1.481262e-01						
11	1.888723e-01	6.250000e-02	-2.428722e-02	1.437233e-01	7.358033e-01	1.267514e-08	1.437233e-01	1.722832e-01	1.250292e+00	3.995483e-01	-7.358033e-01	0.000000e+00	2.000000e+00
12	-4.553959e-01	6.250000e-02	4.270324e-02	1.386643e-01	8.148634e-01	6.685868e-08	1.386643e-01	1.035302e-01	1.017117e+00	3.511372e-01	-8.148633e-01	0.000000e+00	2.000000e+00
13	3.795770e-01	3.125000e-02	-2.428720e-02	1.423633e-01	7.358033e-01	1.256458e-08	1.423633e-01						
14	-5.012237e-01	3.125000e-02	9.373158e-03	1.443709e-01	7.749517e-01	1.895940e-08	1.443709e-01	1.361533e-01	1.133267e+00	3.751858e-01	-7.749517e-01	0.000000e+00	2.000000e+00
15	6.466132e-02	1.562500e-02	4.270322e-02	1.441159e-01	8.148634e-01	4.172028e-08	1.441159e-01						
16	-3.620268e-01	1.562500e-02	2.607390e-02	1.448292e-01	7.948098e-01	3.243731e-08	1.448292e-01	1.194075e-01	1.075078e+00	3.631208e-01	-7.948098e-01	0.000000e+00	2.000000e+00
17	1.304116e+00	7.812500e-03	9.373401e-03	1.453569e-01	7.749520e-01	2.219777e-08	1.453569e-01						
18	-1.190699e+00	1.562500e-02	1.773294e-02	1.454224e-01	7.848564e-01	2.459570e-08	1.454224e-01	1.276715e-01	1.104146e+00	3.691435e-01	-7.848563e-01	0.000000e+00	2.000000e+00
19	-5.265714e-01	7.812500e-03	3.439659e-02	1.451079e-01	8.048116e-01	3.338576e-08	1.451079e-01						
20	-1.875422e-01	3.906250e-03	2.607410e-02	1.452584e-01	7.948100e-01	2.974953e-08	1.452584e-01						
21	-1.586659e-02	1.953125e-03	2.190678e-02	1.453321e-01	7.898283e-01	2.814969e-08	1.453321e-01						
22	7.042281e-02	9.765625e-04	1.982243e-02	1.453684e-01	7.873431e-01	2.739635e-08	1.453684e-01						
23	-1.254417e-01	9.765625e-04	1.878185e-02	1.453864e-01	7.861042e-01	2.703105e-08	1.453865e-01	1.266214e-01	1.100491e+00	3.683858e-01	-7.861041e-01	0.000000e+00	2.000000e+00
24	-7.366027e-02	4.882812e-04	1.983043e-02	1.453883e-01	7.873527e-01	2.711743e-08	1.453883e-01						
25	-4.846416e-02	2.441406e-04	1.931419e-02	1.453957e-01	7.867379e-01	2.693787e-08	1.453957e-01						
26	-3.705927e-02	1.220703e-04	1.906356e-02	1.453992e-01	7.864395e-01	2.685130e-08	1.453992e-01						
27	-3.268151e-02	6.103516e-05	1.895028e-02	1.454008e-01	7.863046e-01	2.681231e-08	1.454008e-01						
28	-3.132309e-02	3.051758e-05	1.890685e-02	1.454014e-01	7.862529e-01	2.679740e-08	1.454015e-01						
29	-3.095693e-02	1.525879e-05	1.889339e-02	1.454016e-01	7.862369e-01	2.679282e-08	1.454016e-01						
30		7.629395e-06	1.888976e-02	1.454017e-01	7.862326e-01	2.679159e-08	1.454017e-01						
