RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.654574e-01	1.000000e+00	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	-1.450000e-01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	-1.400330e-01	1.000000e+00	-7.903036e-03	-2.008512e+00	1.103684e+00	1.006463e+00	-1.505280e+00	2.545729e-02	-4.338957e-01	-1.013213e-01	-9.722082e-02	0.000000e+00	2.000000e+00
3	3.824732e-01	5.000000e-01	-8.049073e-01	-1.212998e+00	1.040328e-01	-9.336032e-09	-1.212998e+00						
4	-3.684987e-01	5.000000e-01	-1.212781e-01	-2.951446e-01	6.419255e-01	3.131788e-01	-1.385552e-01	2.332943e-01	1.395999e+00	3.850931e-01	-3.287467e-01	0.000000e+00	2.000000e+00
5	3.372403e-01	2.500000e-01	1.040768e-01	-3.845897e-01	1.196722e+00	5.293000e-01	-1.199397e-01						
6	3.160069e-01	2.500000e-01	6.727494e-02	-3.081718e-02	9.125913e-01	2.680516e-01	1.032086e-01	1.152635e-02	4.627964e-01	1.912666e-01	-6.445397e-01	0.000000e+00	2.000000e+00
7	-4.024160e-01	2.500000e-01	-8.148355e-02	4.294003e-02	6.720106e-01	4.175132e-08	4.294005e-02	2.406252e-01	1.447551e+00	4.408890e-01	-6.720105e-01	0.000000e+00	2.000000e+00
8	2.832112e-01	1.250000e-01	1.328231e-01	-4.571492e-03	9.700122e-01	1.339880e-01	6.242252e-02						
9	-8.425322e-01	1.250000e-01	5.314913e-02	1.168864e-01	8.281244e-01	3.287871e-03	1.185303e-01	9.284698e-02	9.754395e-01	3.419644e-01	-8.248365e-01	0.000000e+00	2.000000e+00
10	1.219311e-01	6.250000e-02	-8.148354e-02	1.339889e-01	6.720106e-01	3.169408e-09	1.339889e-01						
11	-4.600950e-02	6.250000e-02	-1.316727e-02	1.410298e-01	7.486056e-01	1.309583e-08	1.410298e-01	1.600013e-01	1.211685e+00	3.914970e-01	-7.486056e-01	0.000000e+00	2.000000e+00
12	3.999839e-01	3.125000e-02	5.361685e-02	1.396364e-01	8.281735e-01	7.212815e-08	1.396365e-01						
13	-5.047578e+00	3.125000e-02	2.037368e-02	1.432670e-01	7.880000e-01	3.801937e-08	1.432670e-01	1.250336e-01	1.094944e+00	3.672360e-01	-7.879999e-01	0.000000e+00	2.000000e+00
14	-2.825787e+00	1.562500e-02	5.361472e-02	1.450591e-01	8.281709e-01	4.365122e-08	1.450591e-01						
15	-1.690115e+00	7.812500e-03	3.702610e-02	1.452377e-01	8.079861e-01	3.368884e-08	1.452377e-01						
16	-1.104876e+00	3.906250e-03	2.870894e-02	1.453245e-01	7.979689e-01	3.000142e-08	1.453245e-01						
17	-8.064050e-01	1.953125e-03	2.454446e-02	1.453665e-01	7.929794e-01	2.838098e-08	1.453665e-01						
18	-6.556690e-01	9.765625e-04	2.246157e-02	1.453870e-01	7.904904e-01	2.761835e-08	1.453871e-01						
19	-5.802511e-01	4.882812e-04	2.142172e-02	1.453972e-01	7.892495e-01	2.724865e-08	1.453972e-01						
20	-5.432048e-01	2.441406e-04	2.090570e-02	1.454022e-01	7.886341e-01	2.706782e-08	1.454022e-01						
21	-5.260033e-01	1.220703e-04	2.065518e-02	1.454046e-01	7.883355e-01	2.698066e-08	1.454046e-01						
22	-5.191023e-01	6.103516e-05	2.054195e-02	1.454057e-01	7.882005e-01	2.694159e-08	1.454057e-01						
23	-5.168720e-01	3.051758e-05	2.049856e-02	1.454061e-01	7.881488e-01	2.692774e-08	1.454061e-01						
24	-5.162688e-01	1.525879e-05	2.048508e-02	1.454062e-01	7.881327e-01	2.692211e-08	1.454062e-01						
25	-5.161038e-01	7.629395e-06	2.048150e-02	1.454062e-01	7.881285e-01	2.692369e-08	1.454063e-01						
26	-5.160643e-01	3.814697e-06	2.048053e-02	1.454063e-01	7.881273e-01	2.692045e-08	1.454063e-01						
27	-5.161167e-01	1.907349e-06	2.048030e-02	1.454063e-01	7.881270e-01	2.692036e-08	1.454063e-01						
28	-5.160607e-01	9.536743e-07	2.048029e-02	1.454063e-01	7.881270e-01	2.692348e-08	1.454063e-01						
29	-5.160783e-01	4.768372e-07	2.048027e-02	1.454063e-01	7.881270e-01	2.692347e-08	1.454063e-01						
30		2.384186e-07	2.048027e-02	1.454063e-01	7.881270e-01	2.692347e-08	1.454063e-01						
