RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	6.818754e-01	-1.741748e-01
2	2.796040e-01	-4.711222e-01
3	7.476756e-01	-2.953127e-01
4	4.727283e-01	-3.123677e-01
5	3.735752e-01	-3.886939e-01
6	2.796024e-01	-4.711201e-01
7	3.258617e-01	-4.290631e-01
8	3.495505e-01	-4.086784e-01
9	3.615216e-01	-3.986367e-01
10	3.675371e-01	-3.936522e-01
11	3.615209e-01	-3.986370e-01
12	3.645251e-01	-3.961412e-01
13	3.660340e-01	-3.949031e-01
14	3.645278e-01	-3.961498e-01
15	3.652782e-01	-3.955292e-01
16	3.645228e-01	-3.961544e-01
17	3.648948e-01	-3.958460e-01
18	3.641419e-01	-3.964698e-01
19	3.645141e-01	-3.961612e-01
20	3.646943e-01	-3.960109e-01
21	3.650731e-01	-3.956984e-01
22	3.643177e-01	-3.963243e-01
23	3.646906e-01	-3.960150e-01
24	3.648708e-01	-3.958648e-01
25	3.644912e-01	-3.961801e-01
26	3.648735e-01	-3.958636e-01
27	3.641212e-01	-3.964870e-01
28	3.644934e-01	-3.961783e-01
29	3.646737e-01	-3.960280e-01
30	3.650536e-01	-3.957146e-01
