RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	3.765471e-01	-3.354295e-09	3.765471e-01
3	1.684518e-01	2.504704e-09	1.684518e-01
4	4.254638e-01	-2.511778e-01	4.254638e-01
5	1.734112e-01	-1.605255e-08	1.734112e-01
6	1.454758e-01	-1.002494e-08	1.454758e-01
7	1.684517e-01	-1.270427e-09	1.684517e-01
8	1.505061e-01	-2.695107e-09	1.505061e-01
9	1.463895e-01	-3.539865e-09	1.463895e-01
10	1.455338e-01	-4.078336e-09	1.455338e-01
11	1.454053e-01	-4.248008e-09	1.454053e-01
12	1.455339e-01	-8.706963e-10	1.455339e-01
13	1.454447e-01	-4.314018e-09	1.454447e-01
14	1.454188e-01	-4.378441e-09	1.454188e-01
15	1.454105e-01	-4.488318e-09	1.454105e-01
16	1.454076e-01	-9.888728e-10	1.454076e-01
17	1.454064e-01	-4.434765e-09	1.454064e-01
18	1.454059e-01	-4.438310e-09	1.454059e-01
19	1.454066e-01	-4.437074e-09	1.454066e-01
20	1.454074e-01	-4.435838e-09	1.454074e-01
21	1.454083e-01	-4.434604e-09	1.454083e-01
22	1.454093e-01	-4.433371e-09	1.454093e-01
23	1.454103e-01	-4.432139e-09	1.454103e-01
24	1.454100e-01	-4.433496e-09	1.454100e-01
25	1.454108e-01	-4.432582e-09	1.454108e-01
