RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.129046e-01	5.000000e-01	-1.200000e+00	-1.200000e+00	-9.000000e-02	-9.000000e-02	-1.200000e+00	2.530000e+00	4.520000e+00	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	3.156667e-01	5.000000e-01	-4.346437e-01	-9.606878e-02	3.484466e-01	-4.216428e-09	-9.606878e-02	8.111907e-01	2.573405e+00	6.819072e-01	-3.484466e-01	0.000000e+00	2.000000e+00
3	-1.011488e+00	5.000000e-01	1.438129e-01	-2.826776e-01	9.423688e-01	-2.326285e-09	-2.826776e-01	2.463890e-02	6.673994e-01	2.796459e-01	-9.423688e-01	0.000000e+00	2.000000e+00
4	-5.143222e-02	2.500000e-01	-4.718359e-01	-8.564119e-02	3.395236e-01	-2.511778e-01	-8.564119e-02						
5	4.940658e-01	1.250000e-01	-1.258981e-01	7.202478e-02	6.248437e-01	-6.731005e-08	7.202478e-02						
6	-5.329847e+00	1.250000e-01	1.154166e-02	1.219479e-01	7.775141e-01	-1.349390e-08	1.219479e-01	1.339342e-01	1.125715e+00	3.736180e-01	-7.775141e-01	0.000000e+00	2.000000e+00
7	-2.092581e+00	6.250000e-02	1.438128e-01	1.411650e-01	9.423686e-01	-4.310073e-09	1.411650e-01						
8	-7.603316e-01	3.125000e-02	7.793449e-02	1.430719e-01	8.582449e-01	-1.954449e-09	1.430719e-01						
9	-9.777401e-02	1.562500e-02	4.485345e-02	1.442742e-01	8.174765e-01	-6.084016e-09	1.442742e-01						
10	2.396859e-01	7.812500e-03	2.823253e-02	1.448823e-01	7.973972e-01	-6.485904e-09	1.448823e-01						
11	-1.364330e+00	7.812500e-03	1.989698e-02	1.451817e-01	7.874319e-01	-6.702697e-09	1.451817e-01	1.255083e-01	1.096605e+00	3.675803e-01	-7.874320e-01	0.000000e+00	2.000000e+00
12	-8.469915e-01	3.906250e-03	2.823331e-02	1.453111e-01	7.973982e-01	-6.648905e-09	1.453111e-01						
13	-5.837037e-01	1.953125e-03	2.406832e-02	1.453588e-01	7.924100e-01	-6.757979e-09	1.453588e-01						
14	-4.509738e-01	9.765625e-04	2.198516e-02	1.453822e-01	7.899218e-01	-6.817868e-09	1.453822e-01						
15	-3.847716e-01	4.882812e-04	2.094519e-02	1.453938e-01	7.886812e-01	-6.846489e-09	1.453938e-01						
16	-3.525562e-01	2.441406e-04	2.042910e-02	1.453995e-01	7.880660e-01	-6.860816e-09	1.453995e-01						
17	1.000000e+00	1.220703e-04	2.017855e-02	1.454022e-01	7.877674e-01	-6.867769e-09	1.454022e-01						
18	1.000000e+00	1.220703e-04	2.006530e-02	1.454035e-01	7.876325e-01	-6.870916e-09	1.454035e-01	1.253406e-01	1.096019e+00	3.674587e-01	-7.876325e-01	0.000000e+00	2.000000e+00
19	1.000000e+00	1.220703e-04	2.023361e-02	1.454042e-01	7.878330e-01	-6.869819e-09	1.454042e-01	1.251730e-01	1.095432e+00	3.673372e-01	-7.878330e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	1.220703e-04	2.040190e-02	1.454050e-01	7.880336e-01	-6.868723e-09	1.454050e-01	1.250055e-01	1.094846e+00	3.672157e-01	-7.880336e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	1.220703e-04	2.057017e-02	1.454058e-01	7.882341e-01	-6.867629e-09	1.454058e-01	1.248381e-01	1.094259e+00	3.670941e-01	-7.882341e-01	0.000000e+00	2.000000e+00
22	-7.135416e-01	1.220703e-04	2.073842e-02	1.454068e-01	7.884347e-01	-6.866535e-09	1.454068e-01	1.246708e-01	1.093673e+00	3.669726e-01	-7.884347e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	6.103516e-05	2.090664e-02	1.454078e-01	7.886353e-01	-6.865443e-09	1.454078e-01						
24	1.000000e+00	6.103516e-05	2.086323e-02	1.454082e-01	7.885835e-01	-6.866648e-09	1.454082e-01	1.245468e-01	1.093238e+00	3.668825e-01	-7.885835e-01	0.000000e+00	2.000000e+00
25		6.103516e-05	2.098804e-02	1.454090e-01	7.887323e-01	-6.865837e-09	1.454090e-01	1.244228e-01	1.092803e+00	3.667924e-01	-7.887323e-01	0.000000e+00	2.000000e+00
