RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.102647e+00	5.007002e-02
2	1.012716e+00	6.338060e-03
3	8.353276e-01	-8.603743e-02
4	6.622306e-01	-1.862245e-01
5	4.952303e-01	-2.962740e-01
6	3.374116e-01	-4.191286e-01
7	4.952303e-01	-2.962740e-01
8	4.148772e-01	-3.558904e-01
9	3.757416e-01	-3.870223e-01
10	3.374116e-01	-4.191286e-01
11	3.564707e-01	-4.029484e-01
12	3.660803e-01	-3.949543e-01
13	3.564706e-01	-4.029484e-01
14	3.612686e-01	-3.989437e-01
15	3.636719e-01	-3.969479e-01
16	3.648739e-01	-3.959521e-01
17	3.654736e-01	-3.954559e-01
18	3.657698e-01	-3.952110e-01
19	3.659088e-01	-3.950960e-01
20	3.659726e-01	-3.950433e-01
21	3.659858e-01	-3.950324e-01
22	3.660010e-01	-3.950198e-01
23	3.660015e-01	-3.950195e-01
24	3.660018e-01	-3.950191e-01
25	3.660019e-01	-3.950191e-01
26	3.660020e-01	-3.950190e-01
27	3.660020e-01	-3.950190e-01
28	3.660020e-01	-3.950190e-01
29	3.660020e-01	-3.950190e-01
30	3.660020e-01	-3.950190e-01
