RTO_iter	cost	con	merit
1	6.750000e+00	4.750000e+00	5.425000e+01
2	3.989063e+00	6.160514e-01	1.014958e+01
3	4.223329e-01	-3.337355e-10	4.223329e-01
4	3.637976e+00	-1.697406e+00	3.637976e+00
5	8.461148e-01	-6.998627e-01	8.461148e-01
6	2.392975e-01	-2.132114e-01	2.392975e-01
7	4.223329e-01	-1.473927e-09	4.223329e-01
8	1.689426e-01	-5.523887e-09	1.689426e-01
9	1.728867e-01	-7.051992e-08	1.728867e-01
10	1.454512e-01	-1.349477e-08	1.454512e-01
11	1.689426e-01	-4.303865e-09	1.689426e-01
12	1.507373e-01	-1.952085e-09	1.507373e-01
13	1.464923e-01	-6.076399e-09	1.464923e-01
14	1.455728e-01	-6.477621e-09	1.455728e-01
15	1.454125e-01	-6.694044e-09	1.454125e-01
16	1.455728e-01	-6.638410e-09	1.455728e-01
17	1.454678e-01	-2.449667e-09	1.454678e-01
18	1.454339e-01	-6.809281e-09	1.454339e-01
19	1.454217e-01	-6.837432e-09	1.454217e-01
20	1.454168e-01	-6.852176e-09	1.454168e-01
21	1.454146e-01	-2.488327e-09	1.454146e-01
22	1.454137e-01	-6.862259e-09	1.454137e-01
23	1.454134e-01	-6.863464e-09	1.454134e-01
24	1.454144e-01	-6.862657e-09	1.454144e-01
25	1.454154e-01	-6.861850e-09	1.454154e-01
