RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.870008e-01	1.000000e+00	0.000000e+00	0.000000e+00	4.750000e+00	4.750000e+00	4.750000e+01	6.750000e+00	-7.480000e+00	-1.500000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	7.956517e-01	1.000000e+00	9.603858e-01	2.011156e-01	2.854395e+00	5.874048e-01	6.075164e+00	1.294472e+00	-3.391830e+00	-5.695838e-01	-2.266991e+00	0.000000e+00	2.000000e+00
3	-8.102012e-01	1.000000e+00	3.771752e-01	-1.628973e+00	1.155980e+00	-2.386663e-01	-1.628973e+00	-1.214248e-02	6.437948e-01	3.302795e-01	-1.394647e+00	0.000000e+00	2.000000e+00
4	-1.652594e-01	5.000000e-01	-1.488890e+00	-7.927395e-01	-1.075893e-01	-9.723554e-01	-7.927395e-01						
5	9.223150e-01	2.500000e-01	-3.821433e-01	-3.368718e-02	4.329922e-01	-4.346684e-01	-3.368718e-02						
6	-3.021689e+00	5.000000e-01	6.058218e-02	1.609786e-01	8.251453e-01	-7.921632e-02	1.609786e-01	1.162484e-01	1.085108e+00	3.793222e-01	-9.043616e-01	0.000000e+00	2.000000e+00
7	-1.202165e+00	2.500000e-01	-6.422743e-01	4.866951e-02	2.327013e-01	-3.545639e-01	4.866951e-02						
8	4.141102e-01	1.250000e-01	-2.255296e-01	1.399601e-01	5.263140e-01	-4.458653e-08	1.399601e-01						
9	4.237165e-01	1.250000e-01	1.296988e-01	1.446624e-01	9.240422e-01	-4.421878e-09	1.446624e-01	3.381065e-02	7.156642e-01	2.894213e-01	-9.240422e-01	0.000000e+00	2.000000e+00
10	-1.733409e+00	1.250000e-01	-2.833268e-03	1.223247e-01	7.606189e-01	-1.186136e-08	1.223247e-01	1.488921e-01	1.175756e+00	3.840164e-01	-7.606189e-01	0.000000e+00	2.000000e+00
11	-4.400442e-01	6.250000e-02	1.296987e-01	1.359916e-01	9.240421e-01	-4.074620e-09	1.359916e-01						
12	1.749898e-01	3.125000e-02	6.377564e-02	1.408576e-01	8.406674e-01	-5.173067e-09	1.408576e-01						
13	-6.348599e-01	3.125000e-02	3.060634e-02	1.434770e-01	8.002480e-01	-5.883560e-09	1.434770e-01	1.150007e-01	1.059281e+00	3.598512e-01	-8.002480e-01	0.000000e+00	2.000000e+00
14	5.036048e-01	1.562500e-02	-2.833262e-03	1.448954e-01	7.606189e-01	-2.739478e-09	1.448954e-01						
15	-3.579674e-01	1.562500e-02	1.392607e-02	1.452663e-01	7.803371e-01	-2.542463e-09	1.452663e-01	1.315094e-01	1.117409e+00	3.718944e-01	-7.803371e-01	0.000000e+00	2.000000e+00
16	5.808295e-02	7.812500e-03	3.060629e-02	1.449562e-01	8.002480e-01	-6.186338e-09	1.449562e-01						
17	-4.989043e+00	7.812500e-03	2.227586e-02	1.451983e-01	7.902687e-01	-6.402855e-09	1.451983e-01	1.231458e-01	1.088315e+00	3.658624e-01	-7.902688e-01	0.000000e+00	2.000000e+00
18	-3.764404e+00	3.906250e-03	3.060675e-02	1.453845e-01	8.002485e-01	-6.350174e-09	1.453845e-01						
19	-3.128104e+00	1.953125e-03	2.644461e-02	1.454037e-01	7.952538e-01	-2.344127e-09	1.454037e-01						
20	-2.803065e+00	9.765625e-04	2.436237e-02	1.454128e-01	7.927616e-01	-6.518213e-09	1.454128e-01						
21	-2.639861e+00	4.882812e-04	2.332304e-02	1.454173e-01	7.915193e-01	-6.544263e-09	1.454173e-01						
22	-2.560517e+00	2.441406e-04	2.280748e-02	1.454194e-01	7.909035e-01	-6.481941e-09	1.454194e-01						
23	-2.516922e+00	1.220703e-04	2.256019e-02	1.454205e-01	7.906082e-01	-5.896014e-09	1.454205e-01						
24	-2.510502e+00	6.103516e-05	2.244434e-02	1.454210e-01	7.904699e-01	-2.353019e-09	1.454210e-01						
25	-2.495163e+00	3.051758e-05	2.240169e-02	1.454211e-01	7.904190e-01	-6.447438e-09	1.454211e-01						
26	-2.505469e+00	1.525879e-05	2.238729e-02	1.454212e-01	7.904018e-01	-2.380825e-09	1.454212e-01						
27	-2.505195e+00	7.629395e-06	2.238772e-02	1.454212e-01	7.904023e-01	-6.229194e-09	1.454212e-01						
28	-2.505126e+00	3.814697e-06	2.238695e-02	1.454212e-01	7.904014e-01	-6.220021e-09	1.454212e-01						
29	-2.505109e+00	1.907349e-06	2.238676e-02	1.454212e-01	7.904011e-01	-6.217667e-09	1.454212e-01						
30		9.536743e-07	2.238671e-02	1.454212e-01	7.904011e-01	-6.217075e-09	1.454212e-01						
