RTO_iter	u1	u2
0	3.500000e+00	-2.500000e+00
1	2.515363e+00	-2.325389e+00
2	1.564935e+00	-2.014443e+00
3	6.803317e-01	-1.548099e+00
4	5.332000e-02	-7.690888e-01
5	1.001596e+00	-4.516414e-01
6	4.749147e-01	-5.002805e-01
7	1.231291e-01	-6.491024e-01
8	2.260916e-01	-5.245091e-01
9	4.124042e-01	-3.578130e-01
10	2.260916e-01	-5.245091e-01
11	3.162285e-01	-4.376581e-01
12	3.636726e-01	-3.969473e-01
13	4.124041e-01	-3.578130e-01
14	3.878875e-01	-3.771939e-01
15	3.757410e-01	-3.870229e-01
16	3.696970e-01	-3.919729e-01
17	3.576685e-01	-4.019461e-01
18	3.636723e-01	-3.969475e-01
19	3.666815e-01	-3.944577e-01
20	3.681872e-01	-3.932157e-01
21	3.666786e-01	-3.944601e-01
22	3.674298e-01	-3.938401e-01
23	3.678027e-01	-3.935326e-01
24	3.674183e-01	-3.938496e-01
25	3.675992e-01	-3.937004e-01
26	3.673957e-01	-3.938682e-01
27	3.674775e-01	-3.938008e-01
28	3.673558e-01	-3.939012e-01
29	3.672339e-01	-3.940017e-01
30	3.671120e-01	-3.941023e-01
