RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	5.368340e-01	-1.231093e+00
2	1.422997e+00	-7.677196e-01
3	7.992347e-01	-8.054803e-01
4	3.199709e-01	-6.629805e-01
5	7.523719e-01	-4.119240e-01
6	3.598598e-01	-4.161832e-01
7	8.392414e-01	-2.740801e-01
8	5.523836e-01	-2.567009e-01
9	4.497288e-01	-3.293007e-01
10	3.994929e-01	-3.678566e-01
11	3.510821e-01	-4.073869e-01
12	3.994946e-01	-3.678586e-01
13	3.751305e-01	-3.874309e-01
14	3.510809e-01	-4.073854e-01
15	3.630612e-01	-3.973546e-01
16	3.690828e-01	-3.923775e-01
17	3.630666e-01	-3.973624e-01
18	3.690827e-01	-3.923777e-01
19	3.660765e-01	-3.948711e-01
20	3.600635e-01	-3.998592e-01
21	3.630651e-01	-3.973604e-01
22	3.645690e-01	-3.961161e-01
23	3.653189e-01	-3.954951e-01
24	3.656912e-01	-3.951865e-01
25	3.658715e-01	-3.950363e-01
26	3.659526e-01	-3.949684e-01
27	3.659840e-01	-3.949421e-01
28	3.659937e-01	-3.949341e-01
29	3.659993e-01	-3.949356e-01
30	3.659187e-01	-3.949960e-01
