RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	8.301166e-01	1.000000e+00	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	1.990000e+01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	8.071883e-01	1.000000e+00	-9.638794e-03	-2.026097e+00	1.103359e+00	1.044501e+00	8.418915e+00	2.402600e-02	-4.194020e-01	-1.024932e-01	-5.885811e-02	0.000000e+00	2.000000e+00
3	5.010312e-01	1.000000e+00	-8.041246e-01	-1.203117e+00	1.033047e-01	1.210146e-01	7.029026e-03	1.616347e+00	3.615950e+00	8.967737e-01	1.770986e-02	-4.107825e-15	2.000000e+00
4	-3.964956e-01	1.000000e+00	3.868937e-01	-1.338848e+00	1.272005e+00	1.087966e-04	-1.337760e+00	-4.914267e-02	-8.624839e-02	1.324249e-01	-1.271896e+00	0.000000e+00	2.000000e+00
5	1.428680e-01	5.000000e-01	-1.064518e+00	-1.162338e+00	4.276293e-02	-7.068854e-01	-1.162338e+00						
6	-1.917001e-01	5.000000e-01	-1.688997e-01	-2.245417e-01	5.863454e-01	-2.105688e-01	-2.245417e-01	4.272496e-01	1.911234e+00	5.724227e-01	-7.969142e-01	0.000000e+00	2.000000e+00
7	4.393645e-01	2.500000e-01	3.868916e-01	-1.627434e-01	1.272004e+00	1.111200e-04	-1.616322e-01						
8	-1.069607e+00	2.500000e-01	7.987841e-02	1.498623e-02	8.606934e-01	1.091560e-04	1.607779e-02	7.093416e-02	8.875394e-01	3.244579e-01	-8.605843e-01	0.000000e+00	2.000000e+00
9	-8.970820e-02	1.250000e-01	-1.957754e-01	1.002836e-01	5.547166e-01	1.136156e-04	1.014197e-01						
10	4.958017e-01	6.250000e-02	-5.411582e-02	1.283084e-01	7.021115e-01	1.200874e-04	1.295092e-01						
11	-2.698055e+00	6.250000e-02	1.352218e-02	1.398846e-01	7.798712e-01	1.072042e-04	1.409567e-01	1.318821e-01	1.118665e+00	3.721368e-01	-7.797640e-01	0.000000e+00	2.000000e+00
12	-1.162748e+00	3.125000e-02	7.987849e-02	1.433862e-01	8.606934e-01	1.081921e-04	1.444681e-01						
13	-5.820207e-01	1.562500e-02	4.681269e-02	1.443919e-01	8.198783e-01	1.107262e-04	1.454992e-01						
14	-8.886326e-01	7.812500e-03	3.020105e-02	1.449021e-01	7.997765e-01	1.162599e-04	1.460647e-01						
15	2.473543e+01	3.906250e-03	2.187056e-02	1.451526e-01	7.898002e-01	1.205321e-04	1.463580e-01						
16	-2.132807e-01	7.812500e-03	1.769921e-02	1.452769e-01	7.848309e-01	1.203060e-04	1.464800e-01	1.276640e-01	1.104092e+00	3.691118e-01	-7.847106e-01	0.000000e+00	2.000000e+00
17	-1.803841e-01	3.906250e-03	2.603956e-02	1.452177e-01	7.947838e-01	1.164888e-04	1.463825e-01						
18	7.492174e-01	1.953125e-03	2.187247e-02	1.452904e-01	7.898025e-01	1.203059e-04	1.464935e-01						
19	-1.313583e-01	1.953125e-03	1.978940e-02	1.453310e-01	7.873173e-01	1.089747e-04	1.464207e-01	1.255781e-01	1.096823e+00	3.676069e-01	-7.872084e-01	0.000000e+00	2.000000e+00
20	4.833323e-01	9.765625e-04	2.187745e-02	1.453440e-01	7.898069e-01	1.080860e-04	1.464249e-01						
21	6.748860e-01	9.765625e-04	2.083770e-02	1.453563e-01	7.885664e-01	1.068473e-04	1.464248e-01	1.245354e-01	1.093173e+00	3.668507e-01	-7.884596e-01	0.000000e+00	2.000000e+00
22	1.380279e+00	9.765625e-04	2.188583e-02	1.453659e-01	7.898162e-01	1.024236e-04	1.463902e-01	1.234968e-01	1.089526e+00	3.660958e-01	-7.897137e-01	0.000000e+00	2.000000e+00
23	-3.701739e+00	1.953125e-03	2.293293e-02	1.453752e-01	7.910670e-01	1.075811e-04	1.464510e-01	1.224591e-01	1.085869e+00	3.653372e-01	-7.909594e-01	0.000000e+00	2.000000e+00
24	-5.634602e-01	9.765625e-04	2.501903e-02	1.453872e-01	7.935610e-01	1.072863e-04	1.464601e-01						
25	-9.617479e-01	4.882812e-04	2.397940e-02	1.453899e-01	7.923174e-01	1.067246e-04	1.464571e-01						
26	1.480873e+00	2.441406e-04	2.346373e-02	1.453909e-01	7.917011e-01	1.072809e-04	1.464637e-01						
27	3.732428e-01	4.882812e-04	2.321329e-02	1.453910e-01	7.914020e-01	1.085476e-04	1.464765e-01	1.221819e-01	1.084890e+00	3.651343e-01	-7.912935e-01	0.000000e+00	2.000000e+00
28	2.824701e+01	4.882812e-04	2.374461e-02	1.453949e-01	7.920368e-01	1.072943e-04	1.464678e-01	1.216583e-01	1.083040e+00	3.647513e-01	-7.919295e-01	0.000000e+00	2.000000e+00
29	-1.413531e+00	9.765625e-04	2.322309e-02	1.454029e-01	7.914136e-01	1.072708e-04	1.464756e-01	1.221727e-01	1.084858e+00	3.651278e-01	-7.913063e-01	0.000000e+00	2.000000e+00
30		4.882812e-04	2.426887e-02	1.453944e-01	7.926635e-01	1.067146e-04	1.464616e-01						
