RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.448591e-01	-3.961519e-01
2	1.843422e+00	-1.799616e-01
3	1.542146e-03	-9.593708e-01
4	1.955205e+00	-5.313525e-01
5	9.255300e-01	-5.769489e-01
6	1.696484e-02	-8.693254e-01
7	4.267307e-01	-5.423186e-01
8	8.846497e-01	-3.415447e-01
9	1.898321e-01	-5.641768e-01
10	3.360143e-01	-4.563212e-01
11	4.126285e-01	-3.575524e-01
12	3.164337e-01	-4.373746e-01
13	3.638900e-01	-3.966781e-01
14	4.126261e-01	-3.575497e-01
15	3.881032e-01	-3.769228e-01
16	3.759590e-01	-3.867546e-01
17	3.699118e-01	-3.917008e-01
18	3.638882e-01	-3.966766e-01
19	3.668940e-01	-3.941829e-01
20	3.683999e-01	-3.929411e-01
21	3.691565e-01	-3.923276e-01
22	3.683992e-01	-3.929520e-01
23	3.676417e-01	-3.935762e-01
24	3.680169e-01	-3.932716e-01
25	3.676325e-01	-3.935885e-01
26	3.678115e-01	-3.934368e-01
27	3.674273e-01	-3.937541e-01
28	3.670447e-01	-3.940733e-01
29	3.666605e-01	-3.943905e-01
30	3.668394e-01	-3.942387e-01
